ID,#_Shazam_fr,#_votes_itunes,Artiste,Duree,Genre,Note_Moyenne_itunes,Sortie,Title
430661212,239664,-,Lola Indigo,3,Pop,-,20 juil. 2018,Ya No Quiero Ná
53080366,8535463,99,Adele,9,Pop,4.6,19 janv. 2011,Someone Like You
443035339,10794,-,Maes,3,Hip-hop/Rap,-,12 oct. 2018,Avenue Montaigne
473770,961332,-,Nick Cave & The Bad Seeds,1,Rock,-,18 avr. 1994,Red Right Hand
326216,3105688,7,Alphaville,4,Pop,3.9,27 sept. 1984,Forever Young
41748215,5315220,-,The Fray,3,Rock,-,8 mars 2013,How To Save A Life
315646975,11542955,57,Drake Feat. WizKid & Kyla,2,Hip-hop/Rap,4.8,5 avr. 2016,One Dance
324194713,10467276,128,DJ Snake Feat. Justin Bieber,5,Dance,4.6,5 août 2016,Let Me Love You
441268776,75104,-,Wizkid,4,Musiques du monde,-,30 sept. 2018,Fever
317657806,2660278,-,Two Feet,1,Alternative,-,29 juil. 2016,Go F**k Yourself
358488470,2501859,10,Martin Solveig Feat. ALMA,2,Dance,3.1,16 juin 2017,All Stars
401662568,3951719,13,Liam Payne & Rita Ora,5,Pop,4.8,23 nov. 2018,For You (Fifty Shades Freed)
406670358,605020,26,Muse,3,Alternative,4.9,15 févr. 2018,Thought Contagion
406101796,2165829,-,Reik Feat. Ozuna & Wisin,3,Urban latin,-,16 févr. 2018,Me Niego
89205235,3605840,6,Daft Punk Feat. Julian Casablancas,1,Pop,4.2,17 mai 2013,Instant Crush
257829,1061647,-,The Beach Boys,-,-,-,-,Wouldn't It Be Nice
437766297,428018,19,Avril Lavigne,3,Pop,4.9,19 sept. 2018,Head Above Water
442259846,199079,-,Nicky Jam & Steve Aoki,2,Urban latin,-,5 oct. 2018,Jaleo
219952,2132253,-,Queen,3,Rock,-,28 oct. 1977,We Will Rock You
437541324,95078,119,SCH,1,Hip-hop/Rap,4.4,19 oct. 2018,Otto
2988610,386075,-,Fat Larry's Band,2,R&B/Soul,-,1 janv. 1982,Act Like You Know
5161814,927516,30,Usher,5,R&B/Soul,4.7,7 août 2001,U Remind Me
5188800,988154,8,Will Smith,5,Hip-hop/Rap,4.8,25 nov. 1997,Miami
42968726,877381,-,DHT,4,Dance,-,19 juil. 2005,Listen To Your Heart (Edmee's Unplugged Vocal Edit)
264349780,1360358,24,Synapson Feat. Anna Kova,1,Électronique,4.3,16 oct. 2015,All In You
44340860,763296,-,Sean Paul Feat. Keyshia Cole,1,Reggae,-,26 sept. 2005,Give It Up To Me (When You Gonna;Radio Version)
393359,1578502,-,Baltimora,3,Rock,-,31 déc. 1984,Tarzan Boy
10272901,150458,-,Charles Aznavour,-,-,-,-,Parce Que Tu Crois
40481742,824991,-,Nick Cave & The Bad Seeds,1,Rock,-,20 sept. 2004,O Children
376872230,775815,110,P!nk,5,Pop,4.5,13 oct. 2017,Whatever You Want
44202237,1729638,6,Nelly Furtado Feat. Timbaland,1,Pop,4.7,1 janv. 2006,Promiscuous
580917,2427887,-,Earth & Wind & Fire,3,Pop,-,9 juin 1979,Boogie Wonderland
441869447,6721,-,Adrien Toma & Nessryne,2,Dance,-,5 oct. 2018,Line
51178858,4518358,280,Kid Cudi Feat. MGMT & Ratatat,6,Hip-hop/Rap,4.4,1 janv. 2012,Pursuit Of Happiness (Steve Aoki Remix)
262312,4614858,-,Haddaway,5,Pop,-,29 nov. 1993,What Is Love
443470857,193877,-,Billie Eilish,3,Alternative,-,17 oct. 2018,When The Party's Over
45610462,331135,53,Indochine,2,Rock,4.3,15 nov. 1982,L'aventurier
56889660,11684309,438,Imagine Dragons,5,Alternative,4.7,4 sept. 2012,Radioactive
93723588,8014654,655,Avicii,5,House,4.6,17 sept. 2013,Hey Brother
238576,2373979,-,Bon Jovi,4,Rock,-,18 août 1986,You Give Love A Bad Name
409063111,805375,44,L'Algérino,4,Hip-hop/Rap,3.2,22 juin 2018,Va Bene
321859081,8570937,18,Twenty One Pilots,2,Alternative,4.7,20 déc. 2016,Heathens
340771912,1173471,196,Dadju,1,R&B/Soul,4.5,24 nov. 2017,Reine
10516678,2429298,5,Whitney Houston,5,R&B/Soul,5.0,1 juin 1987,I Wanna Dance With Somebody (Who Loves Me)
11244911,3830252,-,Michael Andrews Feat. Gary Jules,3,Bande originale,-,2 avr. 2002,Mad World
428841446,68800,-,Landy,3,Hip-hop/Rap,-,20 juin 2018,Mytho
322920790,740226,119,Shay,3,Hip-hop/Rap,4.0,2 déc. 2016,Pmw
445377507,128136,-,DaniLeigh Feat. Lil Baby,2,Hip-hop/Rap,-,2 nov. 2018,Lil Bebe (Remix)
332438269,15618487,17,Clean Bandit Feat. Sean Paul & Anne-Marie,4,Dance,4.6,21 oct. 2016,Rockabye
349501879,11023643,83,Charlie Puth,4,Pop,4.7,11 mai 2018,Attention
371708228,302624,7,Oliver Koletzki & Jimmy Sax,6,Électronique,5.0,30 août 2017,No Man No Cry (Jimmy Sax Version)
53464420,1090,-,Eliza Carthy,-,-,-,-,Hansel (Beadcrumbs)
357149358,4322754,22,Dua Lipa,1,Pop,4.6,2 juin 2017,IDGAF
381244519,2210351,7,Maluma Feat. Nego Do Borel,5,Urban latin,4.9,18 mai 2018,Corazón
258585,3290856,-,Smash Mouth,4,Alternative,-,30 août 1990,All Star
441177297,84366,5,MØ,4,Pop,5.0,19 oct. 2018,Blur
233522,1957511,-,Donna Summer,1,R&B/Soul,-,25 avr. 1979,Hot Stuff
413058807,866289,9,J Balvin,4,Urban latin,4.3,25 mai 2018,No Es Justo
448415872,1709,-,Sound Of Legend,2,Dance,-,9 nov. 2018,Hold That Sucker Down (Triade Remix)
425306862,63181,-,ROSALÍA,3,Pop,-,24 juil. 2018,Pienso En Tu Mirá (Cap.3: Celos)
5115393,2567631,-,Creedence Clearwater Revival,4,Rock,-,2 nov. 1969,Fortunate Son
263013345,10832833,36,Lost Frequencies Feat. Janieck Devy,2,Électronique,4.5,11 mai 2015,Reality
334921069,8239595,20,Ofenbach,2,Électronique,4.0,25 nov. 2016,Be Mine
434091661,18951,-,Vaudou Game,8,Afrobeat,-,14 sept. 2018,Tata Fatiguée
220193,2743407,5,Bill Withers,3,R&B/Soul,3.8,1 mai 1971,Ain't No Sunshine
86908963,12219298,-,Klingande,4,Électronique,-,30 juin 2015,Jubel
384702089,48817,-,Kokoroko,5,Jazz contemporain,-,9 févr. 2018,Abusey Junction
90609969,867621,-,Robin Thicke Feat. Pharrell,5,Pop,-,12 juil. 2013,Blurred Lines (No Rap Version)
5703628,3753926,-,Modjo,5,Pop,-,18 sept. 2001,Lady (Hear Me Tonight)
20093181,2686581,-,Keane,1,Rock,-,1 janv. 2004,Everybody's Changing
408846011,49897,-,Biwai,3,Hip-hop/Rap,-,13 avr. 2018,Copacabana
