,ID,Title,Artiste,Genre,Sortie,Duree,Note_Moyenne_itunes,#_votes_itunes,#_Shazam_fr
62,443350218,Scanner,Gringe Feat. Léa Castel,Hip-hop/Rap,2 nov. 2018,5,4.7,69,11705
63,373958382,Unknown (To You),Jacob Banks,R&B/Soul,2 nov. 2018,5,-,-,366286
64,438720646,I Love It,Kanye West & Lil Pump,Hip-hop/Rap,6 sept. 2018,2,-,-,1183789
65,429392474,Losing It,Fisher,Dance,13 juil. 2018,4,-,-,1105711
66,410661491,In My Blood,Shawn Mendes,Pop,25 mai 2018,4,4.8,74,3504338
67,441424734,On S'est Manqué,Ridsa Feat. Eva Guess,Variété française,5 oct. 2018,3,-,-,21100
68,419738945,Alright,Jain,Pop,24 août 2018,3,3.6,108,1033929
69,437107209,Monégasque (Explicit),PLK,Hip-hop/Rap,5 oct. 2018,4,4.6,48,71714
70,377429416,Midi Sur Novembre,Louane,Variété française,10 nov. 2017,4,3.9,197,99948
71,445146936,Sucette,Aya Nakamura Feat. Niska,R&B/Soul,2 nov. 2018,3,3.5,151,28811
72,413103901,Youngblood,5 Seconds Of Summer,Pop,15 juin 2018,5,4.5,26,5551281
73,433217135,Tiago,Kendji Girac,Variété française,31 août 2018,4,3.6,135,91785
74,434336109,Par Amour,Youssoupha,Hip-hop/Rap,28 sept. 2018,4,4.5,48,32742
75,427660020,Born To Be Yours,Kygo & Imagine Dragons,Pop,15 juin 2018,3,-,-,2162544
76,378918899,Body,Loud Luxury Feat. Brando,Dance,20 juil. 2018,4,-,-,4206833
77,437075280,Copines,Aya Nakamura,R&B/Soul,2 nov. 2018,3,3.5,151,300264
78,449901842,Attentat,Imen Es,-,-,-,-,-,9297
79,442173657,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,Bande originale,18 oct. 2018,2,-,-,867729
80,441014449,Lost In Japan (Remix),Shawn Mendes & Zedd,Pop,25 mai 2018,4,4.8,74,715565
81,431962383,Opa,Dimitri Vegas & Like Mike & KSHMR,Dance,22 juil. 2018,3,-,-,247346
82,442686834,I'm Still Here,Sia,Pop,12 oct. 2018,4,-,-,132544
83,113711910,Hum Connection,Lee Mashup Feat. Stone Warley & Co,Dance,1 juin 2015,1,-,-,491309
84,413052016,Te Boté (Remix),"Nicky Jam, Ozuna, Darell, Nio Garcia, Bad Bunny & Casper Magico",Urban latin,13 avr. 2018,6,-,-,3014656
85,441078995,Chambre 122,Koba LaD,Hip-hop/Rap,28 sept. 2018,4,3.7,60,68949
86,373440437,Dusk Till Dawn,ZAYN Feat. Sia,Pop,8 sept. 2017,4,4.7,50,10433786
87,429702613,Revoir,Jérémy Frerot,Variété française,12 oct. 2018,3,3.6,37,262780
88,419208135,Blah Blah Blah,Armin Van Buuren,Dance,18 mai 2018,3,-,-,1765617
89,444318233,Thunderclouds (Lost Frequencies Remix),"LSD Feat. Sia, Diplo & Labrinth",Pop,26 oct. 2018,3,-,-,46993
90,45225229,Flashing Lights,Kanye West Feat. Dwele,Hip-hop/Rap,11 sept. 2007,5,-,-,1011326
91,443938741,Hold That Sucker Down (Vocal Mix),Sound Of Legend,Dance,9 nov. 2018,2,-,-,23135
92,416888150,Solo,Clean Bandit Feat. Demi Lovato,Dance,18 mai 2018,3,4.7,21,8939763
93,417811071,Rise,Jonas Blue Feat. Jack & Jack,Dance,9 nov. 2018,4,-,-,2981211
94,427230040,FEFE,6IX9INE Feat. Nicki Minaj & Murda Beatz,Hip-hop/Rap,22 juil. 2018,2,4.6,18,1914768
95,383639793,Ta Marinière,Hoshi,Variété française,23 mars 2018,4,4.0,80,924485
96,428882462,A Chaque Jour.,Dosseh,Hip-hop/Rap,6 juil. 2018,5,4.2,44,36331
97,445146938,La Dot,Aya Nakamura,R&B/Soul,2 nov. 2018,3,3.5,151,26036
98,448238590,KIKA,6ix9ine Feat. Tory Lanez,Hip-hop/Rap,27 nov. 2018,3,-,-,54117
99,335296072,Happyland,Måns Zelmerlöw,Pop,2 déc. 2016,3,4.8,8,409422
