,Unnamed: 0,ID,Title,Artiste,Genre,Sortie,Duree,Note_Moyenne_itunes,#_votes_itunes,#_Shazam_fr,Paroles,MotsFrequents
10,10,435950080,Promises,Calvin Harris & Sam Smith,Dance,17 août 2018,3,3.8,23,4470743,"  [Sam Smith:] Are you drunk enough Not to judge what I'm doin'? Are you high enough To excuse that I'm ruined? 'Cause I'm ruined Is it late enough For you to come and stay over? 'Cause we're free to love So tease me, hmmm  [Sam Smith & Jessie Reyez:] I make no promises I can't do golden rings But I'll give you everything (tonight) Magic is in the air There ain't no science here So come get your everything (tonight) I make no promises I can't do golden rings But I'll give you everything (tonight) Magic is in the air There ain't no science here So come get your everything (tonight)  Tonight (Your everything tonight)  [Sam Smith:] Is it loud enough? 'Cause my body is calling for you, calling for you I need someone to do the things that I do, mmm I'm heating up, energy's taking control I'm speeding up My heartbeat's dancing alone  [Sam Smith & Jessie Reyez:] I make no promises I can't do golden rings But I'll give you everything (tonight) Magic is in the air There ain't no science here So come get your everything (tonight) I make no promises I can't do golden rings But I'll give you everything (tonight) Magic is in the air There ain't no science here So come get your everything (tonight)  Tonight (Your everything tonight)  [Sam Smith:] 'Cause I need your green light Day and night, say that you're mine 'Cause I need your green light Day and night, say that you're mine Say that you're mine Say that you're mine  [Sam Smith & Jessie Reyez:] I make no promises I can't do golden rings But I'll give you everything (tonight) Magic is in the air There ain't no science here So come get your everything (tonight) I make no promises I can't do golden rings But I'll give you everything (tonight) Magic is in the air There ain't no science here So come get your everything (tonight)  [Sam Smith:] Tonight ",I
11,11,430776855,Natural,Imagine Dragons,Alternative,9 nov. 2018,5,4.7,43,3749416,"   Will you hold the line When every one of them has given up and given in, tell me In this house of mine Nothing ever comes without a consequence or cost, tell me Will the stars align? Will heaven step in? Will it save us from our sin? Will it? 'Cause this house of mine stands strong  That's the price you pay Leave behind your heart and cast away Just another product of today Rather be the hunter than the prey And you're standing on the edge, face up 'cause you're a...  Natural A beating heart of stone You gotta be so cold To make it in this world Yeah, you're a natural Living your life cutthroat You gotta be so cold Yeah, you're a natural  Will somebody Let me see the light within the dark trees' shadowing What's happening? Looking through the glass find the wrong within the past knowing Oh, we are the youth Cut until it bleeds inside a world, without the peace, face it A bit of the truth, the truth  That's the price you pay Leave behind your heart and cast away Just another product of today Rather be the hunter than the prey And you're standing on the edge, face up 'cause you're a...  Natural A beating heart of stone You gotta be so cold To make it in this world Yeah, you're a natural Living your life cutthroat You gotta be so cold Yeah, you're a natural  Deep inside me, I'm fading to black, I'm fading Took an oath by the blood of my hand, won't break it I can taste it, the end is upon us, I swear Gonna make it I'm gonna make it  Natural A beating heart of stone You gotta be so cold To make it in this world Yeah, you're a natural Living your life cutthroat You gotta be so cold Yeah, you're a natural  Natural Yeah, you're a natural ",the
12,12,428550515,Be Alright,Dean Lewis,Auteur-interprète,29 juin 2018,3,-,-,3283159,"   I look up from the ground to see your sad and teary eyes You look away from me And I see there's something you're trying to hide, and I Reach for your hand, but it's cold, you pull away again And I wonder, what's on your mind?  And then you say to me you made a dumb mistake You start to tremble and your voice begins to break You say the cigarettes on the counter weren't your friends, they were my mates And I feel the color draining from my face  And my friend said ""I know you love her, but it's over, mate It doesn't matter, put the phone away It's never easy to walk away Let her go, it'll be alright""  So I asked to look back at all the messages you'd sent And I know it wasn't right but it was fucking with my head And everything deleted like the past, yeah it was gone And when I touched your face, I could tell you're moving on  But it's not the fact that you kissed him yesterday It's the feeling of betrayal, that I just can't seem to shake And everything I know tells me that I should walk away But I just want to stay  And my friend said  ""I know you love her, but it's over, mate It doesn't matter, put the phone away It's never easy to walk away Let her go, it'll be okay It's gonna hurt for a bit of time So bottoms up, let's forget tonight You'll find another and you'll be just fine Let her go""  Nothing heals The past like time And they can't steal The love you're born to find  But nothing heals The past like time And they can't steal The love you're born to find  ""I know you love her, but it's over, mate It doesn't matter, put the phone away It's never easy to walk away Let her go, it'll be okay It's gonna hurt for a bit of time So bottoms up, let's forget tonight You'll find another and you'll be just fine Let her go""  It'll be alright It'll be alright It'll be alright It'll be alright It'll be alright ",
13,13,315340265,À Nos Souvenirs,Trois Cafés Gourmands,Variété française,5 oct. 2018,4,3.5,34,814699,vide,vide
14,14,438654695,Say My Name,David Guetta & Bebe Rexha & J Balvin,-,-,-,-,-,721997,"  [Bebe Rexha:] You've been dressing up the truth I've been dressing up for you Then you leave me in this room, this room Pour a glass and bite my tongue You say I'm the only one If it's true, then why you running, you running?  Woah If you're really being honest, if you really want this (woah) Why you acting like a stranger, what's with your behavior? (woah)  Say my name, say my name If you love me, let me hear you Say my name, say my name I am dying to believe you I feel alone in your arms I feel you breaking my heart Say my name, say my name If you love me, let me hear you  Let me hear you  I got darkness in my head Don't believe a word you said Still I let you in my bed, my bed (yeah) Got too many different sides Got dishonor in your eyes Something has to change tonight, tonight, tonight  Woah If you're really being honest, if you really want this (woah) Why you acting like a stranger, what's with your behavior? (woah)  Say my name, say my name If you love me, let me hear you Say my name, say my name I am dying to believe you I feel alone in your arms I feel you breaking my heart Say my name, say my name If you love me, let me hear you  [J Balvin (Bebe Rexha):] Yeah, yeah (Let me hear you) Yeah, woo, woo, woo (Let me hear you) Eres candela (Let me hear you) Pa' mi Ãºnica nena  [J Balvin:] (J Balvin, men, letgo, come on) Escucha cÃ³mo digo tu nombre Desde MedellÃ­n hasta Londres Cuando te llamo, la maldad responde No preguntas cuÃ¡ndo, solo dÃ³nde Te dejas llevar, de lo prohibido eres adicta Una adicciÃ³n que sabes controlar Te dejas llevar, lo mÃ¡s caliente en la pista Todo lo que tienes demuestra, Â¿pa quÃ© lo dan? Mordiendo mis labios esperas Que nadie mÃ¡s estÃ¡ en mi camino Nada tiene por quÃ© importar DÃ©jalo atrÃ¡s, estÃ¡s conmigo [J Balvin & Bebe Rexha:] Mordiendo mis labios esperas Que nadie mÃ¡s estÃ¡ en mi camino Nada tiene por quÃ© importar DÃ©jalo atrÃ¡s, estÃ¡s conmigo  [Bebe Rexha:] Say my name, say my name If you love me, let me hear you Say my name, say my name I am dying to believe you I feel alone in your arms I feel you breaking my heart Say my name, say my name If you love me, let me hear you ",you
15,15,434582314,Longtemps,Amir,Variété française,27 oct. 2017,1,3.1,22,346217,"   Comme un soleil incandescent Ou comme un astre quâon descend Seule et sublime, je tâimagine  Danse, tu bouleverses tous mes sens Toi ma divine Ã©vidence Le jour dÃ©cline et dÃ©jÃ  je te devine  Lentement, lentement Comme poussÃ© par un vent brÃ»lant JusquâÃ  toi jâai naviguÃ© Trop longtemps, trop longtemps, jâai attendu cet instant Ãa y est, je tâai trouvÃ©  Comme un oasis Dans le dÃ©sert de mes dÃ©sirs Comme un oasis La plus belle source de plaisir  Câest toi mon horizon, mon phare Toi mon oasis  Comme deux saisons qui se mÃ©langent En moi jâai le diable et lâange Je te dessine, quand ma peau est orpheline  Transe dâun plaisir en abondance Tu es lâamour par essence Mon hÃ©roÃ¯ne et je mâincline  Lentement, lentement Comme poussÃ© par un vent brÃ»lant JusquâÃ  toi jâai naviguÃ© Trop longtemps, trop longtemps, jâai attendu cet instant Ãa y est, je tâai trouvÃ©  Comme un oasis Dans le dÃ©sert de mes dÃ©sirs Comme un oasis La plus belle source de plaisir  Câest toi mon horizon, mon phare Toi mon oasis  Dans une mer de sable, toi lâinsaisissable Je vois ton visage, mais nâes tu quâun mirage?  Comme un oasis Comme un oasis Dans le dÃ©sert de mes dÃ©sirs Comme un oasis La plus belle source de plaisir  Câest toi mon horizon, mon phare Toi mon oasis Comme un oasis ",
16,16,436997087,Paradise,Ofenbach Feat. Benjamin Ingrosso,Électronique,24 août 2018,2,-,-,603075,vide,vide
17,17,441465736,Jaloux,Dadju,R&B/Soul,5 oct. 2018,1,4.2,34,364032,"   Je ne sais pas Ã  quoi tu t'attendais Avec moi y a pas d'histoire de ""c'est juste un ami"" ah Ã qui tu veux faire avaler que ton corps ne dÃ©range pas tes soi-disant amis Mais tâinquiÃ¨te pas je ne doute pas de nous, ensemble on est stylÃ© Ce nâest pas une question de fidÃ©litÃ© Le problÃ¨me ne vient pas de nous Les hommes je les connais j'ai moi-mÃªme Ã©tÃ© de l'autre cÃ´tÃ©  Oui j'ai fais du mal Ã  je n'sais combien de femmes Mais j'ai peur que tu deviennes mon retour de flamme J'te dis que j'ai fais du sale Ã  je n'sais combien de femmes Mais j'ai peur que tu deviennes mon retour de flamme  Ma chÃ©rie tu es jolie avec un corps impoli Les hommes sont sans pitiÃ© interdit de les approcher Avec le temps tu embellis T'es mieux que lâex Ã  Balotelli Ne m'en veut pas d'me mÃ©fier Homme/Femme y a pas d'amitiÃ© Si je t'aime je suis jaloux Quand j'aime je suis jaloux Si je t'aime je suis jaloux Ãvidemment que je suis jaloux yeah  BÃ©bÃ© tu es le mien t'es la femme de quelqu'un C'qui brille sur ta main veut dire que tu m'appartiens Mon bÃ©bÃ© tu es le mien t'es la femme de quelqu'un C'qui brille sur ta main veut dire que tu m'appartiens  Je n'sais toujours pas Ã  quoi tu t'attendais Les hommes n'ont pas grandi dans la logique de devenir juste des amis Je n'sais toujours pas Ã  quoi tu t'attendais EnlÃ¨ve-moi tout de suite toutes ces bÃªtises de ton esprit Soit pas naÃ¯ve non mÃ©fies-toi de tout, de tout et de tout le monde en commenÃ§ant par sexe opposÃ© Si j'te dis mÃ©fie toi de tout, de tout et de tout le monde c'est que mon tour finira par arrivÃ©  Oui j'ai fais du mal Ã  je n'sais combien de femmes Mais j'ai peur que tu deviennes mon retour de flamme J'te dis que j'ai fais du sale Ã  je n'sais combien de femmes Mais j'ai peur que tu deviennes mon retour de flamme  Ma chÃ©rie tu es jolie avec un corps impoli Les hommes sont sans pitiÃ© interdit de les approcher Avec le temps tu embellis T'es mieux que lâex Ã  Balotelli Ne m'en veut pas d'me mÃ©fier Entre hommes y a pas d'amitiÃ© Si je t'aime je suis jaloux Quand j'aime je suis jaloux Si je t'aime je suis jaloux Ãvidemment que je suis jaloux yeah  BÃ©bÃ© tu es le mien t'es la femme de quelqu'un C'qui brille sur ta main veut dire que tu m'appartiens Mon bÃ©bÃ© tu es le mien t'es la femme de quelqu'un C'qui brille sur ta main veut dire que tu m'appartiens  Jaloux, je suis jaloux Ouuuh MÃªme si j'ai confiance en toi Jaloux J'ai confiance en toi mais je suis jaloux J'ai confiance en toi mais je suis jaloux Ouuh yeah Jaloux J'ai confiance en toi mais je suis jaloux J'ai confiance en toi mais je suis jaloux Oooh yeaah Oh oh ah ",de
18,18,437075267,Je Te Le Donne,Vitaa & Slimane,Pop,28 sept. 2018,1,4.2,31,414839,"   Je ne sais pas faire J'ai beau mentir tout me ramÃ¨ne Ã  toi Je ne sais pas faire quand t'es pas lÃ   Je ne sais pas faire J'ai beau sourire quand on parle de toi Je ne sais pas faire quand t'es pas lÃ   Je n'ai plus rien Ã  perdre Rien Ã  gagner  Je n'ai plus de peine Plus rien Ã  pleurer  Rien c'est dÃ©jÃ  trop  Tout me semble faux Quand t'es pas lÃ  Ãa ne compte pas  Quand t'es pas lÃ , toi LÃ , oÃ¹ les mots font s'aimer les hommes Si tu l'entends Ã§a, je te pardonne Quand t'es pas lÃ , toi LÃ , oÃ¹ les autres ont le cÅur qui cogne Si tu le veux, prends je te le donne (je te le donne)  Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne  Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne  J'ai le spleen de toi de tes yeux Sans un signe plus rien de nous deux Je reste digne mÃªme si Ã§a fait mal Quand t'es pas lÃ   Je sens ta main posÃ©e sur la mienne Et le son de ta voix qui traÃ®ne Je n'ai plus le goÃ»t de rien Quand t'es pas lÃ   Je n'ai plus rien Ã  perdre Rien Ã  gagner  Je n'ai plus de peine Plus rien Ã  pleurer  Rien c'est dÃ©jÃ  trop  Tout me semble faux Quand t'es pas lÃ  Ãa ne compte pas  Quand t'es pas lÃ , toi LÃ , oÃ¹ les mots font s'aimer les hommes Si tu l'entends Ã§a, je te pardonne Quand t'es pas lÃ , toi LÃ  oÃ¹ les autres ont le cÅur qui cogne Si tu le veux, prends je te le donne (je te le donne)  Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne  Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne  Je ne sais pas faire J'ai beau mentir tout me ramÃ¨ne Ã  toi Je ne sais pas faire quand t'es pas lÃ   Je ne sais pas faire J'ai beau sourire quand on parle de toi Je ne sais pas...  Quand t'es pas lÃ , toi LÃ , oÃ¹ les mots font s'aimer les hommes Si tu l'entends Ã§a, je te pardonne Quand t'es pas lÃ , toi LÃ , oÃ¹ les autres ont le cÅur qui cogne Si tu le veux, prends je te le donne (je te le donne)  Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne  Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne, donne, donne Je te le donne...  Je te le donne, donne Je te le donne, donne  Je te le donne Je te le donne Je te le donne Je te le donne Je te le donne Quand t'es pas lÃ  ",Je
19,19,444645088,Madrina,Maes Feat. Booba,Hip-hop/Rap,26 oct. 2018,3,4.0,20,103455,vide,vide
