,Artiste,Titre,Listeners,Annee
133,coldplay,paradise,890642,2012
134,khalid,young-dumb-broke,142143,2017
135,khalid,young-dumb-broke,142143,2017
136,walk-the-moon,shut-up-and-dance,385366,2015
137,walk-the-moon,shut-up-and-dance,385366,2015
138,adele,hello,397273,2016
139,adele,hello,397273,2015
140,adele,hello,397273,2016
141,adele,hello,397273,2015
142,carly-rae-jepsen,call-me-maybe,758259,2012
143,carly-rae-jepsen,call-me-maybe,758259,2012
144,james-arthur,say-you-wont-let-go,190697,2017
145,james-arthur,say-you-wont-let-go,190697,2017
146,shawn-mendes,treat-you-better,215952,2017
147,shawn-mendes,treat-you-better,215952,2016
148,shawn-mendes,treat-you-better,215952,2017
149,shawn-mendes,treat-you-better,215952,2016
150,shawn-mendes,theres-nothing-holdin-me-back,169464,2017
151,shawn-mendes,theres-nothing-holdin-me-back,169464,2017
152,sam-smith,stay-with-me,495170,2015
153,sam-smith,stay-with-me,495170,2014
154,sam-smith,stay-with-me,495170,2015
155,sam-smith,stay-with-me,495170,2014
156,justin-bieber,sorry,339750,2016
157,justin-bieber,sorry,339750,2016
158,george-ezra,budapest,411361,2015
159,george-ezra,budapest,411361,2015
160,khalid,location,163974,2017
161,khalid,location,163974,2017
162,taylor-swift,i-knew-you-were-trouble,159592,2013
163,taylor-swift,i-knew-you-were-trouble,159592,2013
164,john-legend,all-of-me,479726,2014
165,john-legend,all-of-me,479726,2014
166,bruno-mars,thats-what-i-like,194124,2017
167,bruno-mars,thats-what-i-like,194124,2017
168,justin-bieber,love-yourself,293723,2016
169,justin-bieber,love-yourself,293723,2016
170,sam-smith,im-not-the-only-one,397157,2015
171,sam-smith,im-not-the-only-one,397157,2015
172,dnce,cake-by-the-ocean,270826,2016
173,dnce,cake-by-the-ocean,270826,2016
174,james-bay,let-it-go,282127,2016
175,james-bay,let-it-go,282127,2016
176,coldplay,hymn-for-the-weekend,254208,2016
177,coldplay,hymn-for-the-weekend,254208,2016
178,mumford-sons,i-will-wait,627798,2013
179,mumford-sons,i-will-wait,627798,2013
180,lady-gaga,paparazzi,1053319,2010
181,lady-gaga,paparazzi,1053319,2010
182,lady-gaga,applause,395497,2013
183,lady-gaga,applause,395497,2013
184,adele,send-my-love-to-your-new-lover,245264,2016
185,adele,send-my-love-to-your-new-lover,245264,2016
186,miley-cyrus,malibu,155015,2017
187,miley-cyrus,malibu,155015,2017
188,ed-sheeran,castle-on-the-hill,209023,2017
189,ed-sheeran,castle-on-the-hill,209023,2017
190,future,mask-off,176246,2017
191,future,mask-off,176246,2017
192,fall-out-boy,centuries,311767,2015
193,fall-out-boy,centuries,311767,2015
194,sia,elastic-heart,373382,2015
195,sia,elastic-heart,373382,2015
196,lady-gaga,alejandro,824347,2010
197,rihanna,diamonds,586049,2013
198,rihanna,diamonds,586049,2012
199,adele,set-fire-to-the-rain,855670,2012
200,awolnation,sail,751126,2013
201,drake,hotline-bling,359983,2016
202,drake,hotline-bling,359983,2015
203,bruno-mars,24k-magic,228371,2017
204,xxxtentacion,look-at-me,94249,2017
205,capital-cities,safe-and-sound,589356,2013
206,tove-lo,habits-stay-high,301126,2015
207,tove-lo,habits-stay-high,301126,2014
208,train,hey-soul-sister,715322,2010
209,katy-perry,firework,881015,2011
210,coldplay,adventure-of-a-lifetime,289421,2016
211,adele,when-we-were-young,214246,2016
212,rihanna,bitch-better-have-my-money,271271,2015
213,katy-perry,roar,521221,2014
214,katy-perry,roar,521221,2013
215,post-malone,white-iverson,164518,2016
216,taylor-swift,we-are-never-ever-getting-back-together,415758,2012
217,paramore,aint-it-fun,286134,2014
218,zayn,pillowtalk,222861,2016
219,ed-sheeran,the-a-team,612668,2013
220,playboi-carti,magnolia,87131,2017
221,coldplay,a-sky-full-of-stars,483760,2014
222,katy-perry,last-friday-night-t-g-i-f,651696,2011
223,maroon-5,sugar,384804,2015
224,katy-perry,teenage-dream,795160,2011
225,katy-perry,teenage-dream,795160,2010
226,bruno-mars,just-the-way-you-are,698547,2011
227,bruno-mars,just-the-way-you-are,698547,2010
228,miley-cyrus,we-cant-stop,412884,2013
