,Artiste,Titre,Listeners,Unnamed: 3,Unnamed: 4
631,fleet-foxes,mykonos,638809,,
632,foo-fighters,best-of-you,1130688,,
633,mgmt,when-you-die,91147,,
634,bon-jovi,you-give-love-a-bad-name,751556,,
635,lady-gaga,born-this-way,549708,,
636,the-fray,how-to-save-a-life,1128959,,
637,arctic-monkeys,mardy-bum,1069389,,
638,kanye-west,all-of-the-lights,705263,,
639,pearl-jam,even-flow,859876,,
640,guns-n-roses,paradise-city,1094644,,
641,incubus,drive,936120,,
642,lady-gaga,just-dance,1014277,,
643,rosalia,di-mi-nombre-cap-8-extasis,15106,,
644,thundercat,king-of-the-hill,15094,,
645,kansas,carry-on-wayward-son,647478,,
646,kendrick-lamar,loyalty-feat-rihanna,170435,,
647,clean-bandit,symphony-feat-zara-larsson,144090,,
648,travi-scott,r-i-p-screw,55703,,
649,tyler-the-creator,where-this-flower-blooms,98460,,
650,iggy-pop,the-passenger,772993,,
651,coldplay,paradise,890642,,
652,khalid,young-dumb-broke,142143,,
653,walk-the-moon,shut-up-and-dance,385366,,
654,metro-boomin,lesbian-feat-gunna-young-thug,14878,,
655,brockhampton,jouvert,41987,,
656,architects,hereafter,20626,,
657,4-non-blondes,whats-up,334084,,
658,led-zeppelin,black-dog,877157,,
659,lorde,hard-feelings-loveless,109903,,
660,billie-eilish,watch,67333,,
661,daughters,the-flammable-man,16505,,
662,the-shins,new-slang,996648,,
663,travi-scott,wake-up,55128,,
664,mariah-carey,with-you,20447,,
665,imagine-dragons,burn-out,14754,,
666,juice-wrld,armed-and-dangerous,14910,,
667,neutral-milk-hotel,in-the-aeroplane-over-the-sea,578478,,
668,the-smashing-pumpkins,knights-of-malta,14805,,
669,exo,tempo,14709,,
670,ke-ha,tik-tok,1310988,,
671,adele,hello,397273,,
672,zedd,happy-now,57297,,
673,brenda-lee,rockin-around-the-christmas-tree-single-version,83851,,
674,rita-ora,only-want-you,15385,,
675,echo-the-bunnymen,the-killing-moon,571428,,
676,bazzi,mine,111053,,
677,the-prodigy,champions-of-london,14642,,
678,rex-orange-county,loving-is-easy,73462,,
679,jet,are-you-gonna-be-my-girl,1004334,,
680,daft-punk,instant-crush-feat-julian-casablancas,580480,,
681,the-temper-trap,sweet-disposition,878046,,
682,royal-blood,figure-it-out,236301,,
683,arcade-fire,everything-now,150735,,
684,lou-reed,walk-on-the-wild-side,719544,,
685,gotye,somebody-that-i-used-to-know,1024152,,
686,carly-rae-jepsen,call-me-maybe,758259,,
687,james-arthur,say-you-wont-let-go,190697,,
688,imagine-dragons,real-life,14562,,
689,lil-peep,leanin,14604,,
690,fall-out-boy,dance-dance,747483,,
691,coldplay,clocks,1604470,,
692,the-black-keys,howlin-for-you,599981,,
693,little-mix,love-a-girl-right,14498,,
694,shawn-mendes,treat-you-better,215952,,
695,muse,hysteria,1153281,,
696,the-1975,tootimetootimetootime,42501,,
697,rihanna,we-found-love-feat-calvin-harris,738159,,
698,little-mix,american-boy,14432,,
699,fleetwood-mac,dreams-2004-remastered-edition,115325,,
700,brockhampton,sweet,74501,,
701,creedence-clearwater-revival,bad-moon-rising,818464,,
702,robyn,beach2k20,21003,,
703,carly-rae-jepsen,run-away-with-me,155624,,
704,lana-del-rey,venice-bitch,46877,,
705,pink-floyd,money,930640,,
706,eminem,without-me,757860,,
707,shawn-mendes,theres-nothing-holdin-me-back,169464,,
708,bring-me-the-horizon,mantra,39826,,
709,sam-smith,stay-with-me,495170,,
710,metro-boomin,only-you-feat-wizkid-offset-j-balvin,14318,,
711,3-doors-down,kryptonite,1038565,,
712,jessie-j,bang-bang,347499,,
713,system-of-a-down,b-y-o-b,946479,,
714,anitta,nao-perco-meu-tempo,14285,,
715,camila-cabello,real-friends,94395,,
716,justin-bieber,sorry,339750,,
717,tyler-the-creator,potato-salad,24177,,
718,red-hot-chili-peppers,by-the-way,1151667,,
719,george-ezra,budapest,411361,,
720,brockhampton,gold,77133,,
721,troye-sivan,lucky-strike,40832,,
722,the-jackson-5,i-want-you-back,788914,,
723,metro-boomin,borrowed-love-feat-swae-lee-wizkid,14237,,
724,tlc,no-scrubs,529614,,
725,khalid,location,163974,,
726,radiohead,reckoner,900639,,
727,dua-lipa,want-to,41000,,
728,earl-sweatshirt,the-mint-feat-navy-blue,15079,,
729,lil-peep,16-lines,14992,,
730,alice-in-chains,would,683380,,
731,new-order,blue-monday-2016-remastered-version,54515,,
732,katy-perry,i-kissed-a-girl,1179693,,
733,kanye-west,heartless,1062924,,
734,taylor-swift,i-knew-you-were-trouble,159592,,
735,michael-jackson,beat-it-single-version,321901,,
736,nicki-minaj,bed-feat-ariana-grande,78748,,
737,janelle-monae,make-me-feel,91442,,
738,daughters,the-lords-song,15774,,
739,rosalia,que-no-salga-la-luna-cap-2-boda,14138,,
740,zayn,no-candle-no-light-feat-nicki-minaj,14278,,
741,childish-gambino,summertime-magic,91351,,
742,queen,we-are-the-champions-live-aid,16465,,
743,kanye-west,father-stretch-my-hands-pt-1,177986,,
744,weezer,island-in-the-sun,983295,,
745,kendrick-lamar,m-a-a-d-city,257923,,
746,queen,the-show-must-go-on-remastered-2011,83103,,
747,metro-boomin,only-1-interlude-with-travis-scott,14011,,
748,tame-impala,new-person-same-old-mistakes,191512,,
749,system-of-a-down,aerials,926578,,
750,foo-fighters,learn-to-fly,1038164,,
751,kanye-west,violent-crimes,75779,,
752,tiesto,jackie-chan,83077,,
753,joji,wanted-u,19395,,
754,little-mix,the-cure,13987,,
755,the-rolling-stones,i-cant-get-no-satisfaction,893084,,
756,daughters,less-sex,15580,,
757,queen,hammer-to-fall-live-aid,16570,,
758,daft-punk,harder-better-faster-stronger,1218139,,
759,taylor-swift,gorgeous,98847,,
760,queen,who-wants-to-live-forever,461727,,
761,lorde,writer-in-the-dark,112137,,
762,rosalia,bagdad-cap-7-liturgia,13990,,
763,jonas-blue,polaroid,24625,,
764,alan-walker,faded,251772,,
765,joji,no-fun,19601,,
766,ariana-grande,be-alright,114649,,
767,mike-will-made-it,the-mantra-from-creed-ii-the-album,14045,,
768,george-michael,careless-whisper,492967,,
769,ariana-grande,greedy,91348,,
770,john-legend,all-of-me,479726,,
771,radiohead,jigsaw-falling-into-place,865120,,
772,travi-scott,cant-say,46468,,
773,milky-chance,stolen-dance,433580,,
774,travi-scott,skeletons,52261,,
775,elton-john,tiny-dancer,624130,,
776,the-human-league,dont-you-want-me,389236,,
777,yeah-yeah-yeahs,heads-will-roll,741515,,
778,p-nk,a-million-dreams,17811,,
779,kendrick-lamar,backseat-freestyle,344761,,
780,ghost,dance-macabre,44922,,
781,bruno-mars,thats-what-i-like,194124,,
782,the-weeknd,pray-for-me-with-kendrick-lamar,118465,,
783,phoenix,lisztomania,874832,,
784,queen,we-will-rock-you,1008099,,
785,twenty-one-pilots,smithereens,34922,,
786,weezer,say-it-aint-so,799532,,
787,natalie-imbruglia,torn,800575,,
788,arctic-monkeys,tranquility-base-hotel-casino,72521,,
789,justin-bieber,love-yourself,293723,,
790,green-day,wake-me-up-when-september-ends,999719,,
791,mac-demarco,chamber-of-reflection,196996,,
792,lorde,ribs,328361,,
793,frank-ocean,lost,369833,,
794,massive-attack,angel,880941,,
795,outkast,ms-jackson,846760,,
796,cream,sunshine-of-your-love,904463,,
797,sixpence-none-the-richer,kiss-me,673562,,
798,lauren-jauregui,expectations,19404,,
799,daughters,the-reason-they-hate-me,16370,,
800,twenty-one-pilots,neon-gravestones,33833,,
801,daniel-caesar,get-you-feat-kali-uchis,85120,,
802,french-montana,unforgettable,167563,,
803,buffalo-springfield,for-what-its-worth,682081,,
804,portishead,glory-box,854096,,
805,rise-against,savior,535257,,
806,linkin-park,what-ive-done,948868,,
807,unknown-mortal-orchestra,hunnybee,54692,,
808,beach-house,lemon-glow,80375,,
809,britney-spears,womanizer,701073,,
810,black-sabbath,paranoid-2009-remastered-version,77626,,
811,lil-baby,never-recover-lil-baby-gunna-drake,24194,,
812,ariana-grande,break-free,315633,,
813,blind-melon,no-rain,643961,,
814,twenty-one-pilots,the-hype,32918,,
815,linkin-park,one-step-closer,975922,,
816,lil-baby,drip-too-hard,26419,,
817,frank-ocean,super-rich-kids,327717,,
818,sam-smith,im-not-the-only-one,397157,,
819,vince-staples,norf-norf,119104,,
820,dnce,cake-by-the-ocean,270826,,
821,xxxtentacion,changes,69234,,
822,pabllo-vittar,seu-crime,21130,,
823,the-prodigy,boom-boom-tap,13467,,
824,rihanna,work,277700,,
825,david-bowie,life-on-mars-2015-remastered-version,141567,,
826,kaleo,way-down-we-go,187738,,
827,kanye-west,i-thought-about-killing-you,81232,,
828,bebe-rexha,meant-to-be-feat-florida-georgia-line,120381,,
829,james-bay,let-it-go,282127,,
830,fleetwood-mac,the-chain-2004-remastered-edition,93332,,
831,paul-simon,you-can-call-me-al,580746,,
832,blondie,call-me,549390,,
833,queen,i-want-to-break-free-remastered-2011,90125,,
834,florence-the-machine,shake-it-out,722326,,
835,coldplay,hymn-for-the-weekend,254208,,
836,drake,dont-matter-to-me-with-michael-jackson,53663,,
837,slipknot,before-i-forget,770352,,
838,khalid,saturday-nights,23674,,
839,the-doors,break-on-through-to-the-other-side,1049297,,
840,taylor-swift,end-game,78817,,
841,led-zeppelin,kashmir,729812,,
842,mariah-carey,the-distance-feat-ty-dolla-ign,17638,,
843,architects,death-is-not-defeat,13409,,
844,tame-impala,elephant,472368,,
845,simon-garfunkel,mrs-robinson,772365,,
846,twice,yes-or-yes,13498,,
847,pink-floyd,another-brick-in-the-wall-pt-2,228354,,
848,toto,hold-the-line,525330,,
849,charli-xcx,boys,100722,,
850,xxxtentacion,fuck-love-feat-trippie-redd,74842,,
851,pink-floyd,time,859341,,
852,cyndi-lauper,time-after-time,662940,,
853,lorde,sober-ii-melodrama,108560,,
854,fall-out-boy,thnks-fr-th-mmrs,688034,,
855,radiohead,nude,837191,,
856,kanye-west,ultralight-beam,173217,,
857,ragnbone-man,human,178030,,
858,aphex-twin,avril-14th,450805,,
859,selena-gomez,bad-liar,145621,,
860,mumford-sons,i-will-wait,627798,,
861,lady-gaga,heal-me,26690,,
862,kendrick-lamar,bitch-dont-kill-my-vibe,342656,,
863,kanye-west,monster,288246,,
864,radiohead,15-step,949622,,
865,queen,fat-bottomed-girls-live-in-paris,16517,,
866,joy-division,disorder-2007-remastered-version,129810,,
867,phoenix,1901,924625,,
868,panic-at-the-disco,say-amen-saturday-night,67365,,
869,radiohead,burn-the-witch,263209,,
870,lana-del-rey,west-coast,361925,,
871,kaiser-chiefs,ruby,932775,,
872,little-mix,more-than-words-feat-kamille,13210,,
873,martin-garrix,scared-to-be-lonely,165245,,
874,mumford-sons,the-wild,13314,,
875,frank-ocean,skyline-to,121872,,
876,linkin-park,faint,1001686,,
877,lady-gaga,paparazzi,1053319,,
878,coolio,gangstas-paradise,674238,,
879,lady-gaga,is-that-alright,26079,,
880,kanye-west,runaway,285434,,
881,pusha-t,the-games-we-play,55741,,
882,muse,propaganda-acoustic-version,13161,,
883,rosalia,de-aqui-no-sales-cap-4-disputa,13183,,
884,kodaline,all-i-want,323857,,
885,disturbed,down-with-the-sickness,874374,,
886,system-of-a-down,lonely-day,995765,,
887,maroon-5,this-love,1049583,,
888,taylor-swift,bad-blood,170910,,
889,pearl-jam,black,783745,,
890,sufjan-stevens,lonely-man-of-winter-doveman-mix-feat-melissa-mary-ahern,13196,,
891,lynyrd-skynyrd,free-bird,765178,,
892,nirvana,the-man-who-sold-the-world,901571,,
893,radiohead,all-i-need,936763,,
894,childish-gambino,sober,187831,,
895,the-smashing-pumpkins,silvery-sometimes-ghosts,25351,,
896,architects,modern-misery,13356,,
897,lady-gaga,applause,395497,,
898,dr-dre,still-d-r-e,810223,,
899,muse,knights-of-cydonia,1044518,,
900,rex-orange-county,sunflower,48593,,
901,lil-peep,hate-me,13048,,
902,zayn,dusk-till-dawn-radio-edit,127191,,
903,little-mix,motivate,13076,,
904,counting-crows,mr-jones,763480,,
905,rihanna,disturbia,777155,,
906,simon-garfunkel,the-sound-of-silence,987620,,
907,offset,ric-flair-drip-metro-boomin,65660,,
908,martin-garrix,dreamer,13037,,
909,gorillaz,dare,1037763,,
910,led-zeppelin,good-times-bad-times,707306,,
911,daughters,daughter,14619,,
912,macklemore-ryan-lewis,cant-hold-us-feat-ray-dalton,601476,,
913,band-of-horses,the-funeral,817140,,
914,van-morrison,brown-eyed-girl,779447,,
915,adele,send-my-love-to-your-new-lover,245264,,
916,metallica,master-of-puppets,854254,,
917,miley-cyrus,malibu,155015,,
918,ed-sheeran,castle-on-the-hill,209023,,
919,future,mask-off,176246,,
920,fall-out-boy,centuries,311767,,
921,sia,elastic-heart,373382,,
922,kendrick-lamar,money-trees,245631,,
923,the-raconteurs,steady-as-she-goes,644047,,
924,ed-sheeran,happier,139387,,
925,tame-impala,eventually,233989,,
926,muse,madness,551402,,
927,the-1975,love-it-if-we-made-it,41187,,
928,rita-ora,velvet-rope,13126,,
929,three-days-grace,i-hate-everything-about-you,969437,,
930,normani,checklist-with-calvin-harris-feat-wizkid,21836,,
931,jose-gonzalez,heartbeats,938914,,
932,wu-tang-clan,c-r-e-a-m,560894,,
933,david-bowie,rebel-rebel-2016-remastered-version,66511,,
934,the-offspring,self-esteem,765372,,
935,interpol,obstacle-1,589736,,
936,calvin-harris,slide,181407,,
937,linkin-park,crawling,917411,,
938,marina-the-diamonds,how-to-be-a-heartbreaker,206439,,
939,beirut,gallipoli,17949,,
940,ariana-grande,thank-u-next,112661,,
941,queen,bohemian-rhapsody-remastered-2011,249059,,
942,travi-scott,sicko-mode,113733,,
943,ariana-grande,no-tears-left-to-cry,183273,,
944,ariana-grande,god-is-a-woman,139416,,
945,imagine-dragons,natural,107822,,
946,ariana-grande,breathin,109810,,
947,halsey,without-me,72302,,
948,imagine-dragons,bad-liar,49687,,
949,queen,dont-stop-me-now-remastered,119297,,
950,billie-eilish,when-the-partys-over,62448,,
951,queen,under-pressure-remastered,65882,,
952,dj-snake,taki-taki-with-selena-gomez-ozuna-cardi-b,73621,,
953,marshmello,happier,87570,,
954,the-killers,mr-brightside,1949726,,
955,arctic-monkeys,do-i-wanna-know,872509,,
956,queen,another-one-bites-the-dust-remastered-2011,174376,,
957,little-mix,woman-like-me-feat-nicki-minaj,55986,,
958,tame-impala,the-less-i-know-the-better,387464,,
959,imagine-dragons,machine,41923,,
960,muse,propaganda,40915,,
961,dua-lipa,kiss-and-make-up,55866,,
962,queen,bohemian-rhapsody,1346380,,
963,lady-gaga,shallow,72041,,
964,post-malone,sunflower-spider-man-into-the-spider-verse,54262,,
965,toto,africa,891205,,
966,rita-ora,let-you-love-me,60674,,
967,muse,pressure,56951,,
968,sheck-wes,mo-bamba,62733,,
969,anderson-paak,tints-feat-kendrick-lamar,56646,,
970,nirvana,smells-like-teen-spirit,2036263,,
971,post-malone,better-now,148309,,
972,the-white-stripes,seven-nation-army,1484922,,
973,muse,algorithm,36682,,
974,muse,the-dark-side,55622,,
975,mariah-carey,all-i-want-for-christmas-is-you,667127,,
976,dua-lipa,new-rules,273264,,
977,radiohead,creep,1611756,,
978,carly-rae-jepsen,party-for-one,35231,,
979,kodak-black,zeze-feat-travis-scott-offset,49669,,
980,kendrick-lamar,humble,332679,,
981,khalid,better,68102,,
982,portugal-the-man,feel-it-still,285464,,
983,panic-at-the-disco,high-hopes,96280,,
984,drake,in-my-feelings,152022,,
985,franz-ferdinand,take-me-out,1650489,,
986,a-ha,take-on-me,1121591,,
987,clean-bandit,baby-feat-marina-and-the-diamonds-luis-fonsi,33047,,
988,bad-bunny,mia-feat-drake,52192,,
989,xxxtentacion,arms-around-you-feat-maluma-swae-lee,39222,,
990,charli-xcx,1999,53823,,
991,linkin-park,in-the-end,1386495,,
992,gorillaz,feel-good-inc,1467476,,
993,queen,somebody-to-love-remastered-2011,116947,,
994,kanye-west,i-love-it-lil-pump,91627,,
995,calvin-harris,promises-with-sam-smith,84276,,
996,dynoro,in-my-mind,91019,,
997,foster-the-people,pumped-up-kicks,1202894,,
998,childish-gambino,redbone,276841,,
999,red-hot-chili-peppers,under-the-bridge,1513566,,
1000,anderson-paak,who-r-u,31502,,
1001,imagine-dragons,believer,265336,,
1002,muse,thought-contagion,81935,,
1003,post-malone,rockstar-feat-21-savage,109035,,
1004,queen,i-want-to-break-free,693318,,
1005,ava-max,sweet-but-psycho,42844,,
1006,nirvana,come-as-you-are,1793705,,
1007,queen,another-one-bites-the-dust,1039797,,
1008,zara-larsson,ruin-my-life,42187,,
1009,dua-lipa,idgaf,196130,,
1010,5-seconds-of-summer,youngblood,107463,,
1011,xxxtentacion,sad,133355,,
1012,juice-wrld,lucid-dreams,96305,,
1013,pixies,where-is-my-mind,1143123,,
1014,arctic-monkeys,r-u-mine,704610,,
1015,queen,somebody-to-love,726064,,
1016,ariana-grande,into-you,232403,,
1017,muse,something-human,55421,,
1018,billie-eilish,lovely-with-khalid,89015,,
1019,queen,we-will-rock-you-remastered,70808,,
1020,ed-sheeran,shape-of-you,377496,,
1021,lorde,green-light,255090,,
1022,kendrick-lamar,dna,262212,,
1023,lady-gaga,always-remember-us-this-way,45720,,
1024,r-e-m,losing-my-religion,1176114,,
1025,vince-staples,feels-like-summer,29026,,
1026,joji,slow-dancing-in-the-dark,53502,,
1027,childish-gambino,this-is-america,170493,,
1028,the-cranberries,zombie,1238094,,
1029,drake,gods-plan,220732,,
1030,system-of-a-down,chop-suey,1481558,,
1031,queen,killer-queen,843448,,
1032,imagine-dragons,thunder,256893,,
1033,muse,break-it-to-me,28636,,
1034,calvin-harris,one-kiss-with-dua-lipa,150271,,
1035,frank-ocean,pink-white,199571,,
1036,clean-bandit,solo-feat-demi-lovato,113649,,
1037,the-verve,bitter-sweet-symphony,1145197,,
1038,vince-staples,fun,27878,,
1039,camila-cabello,havana,238564,,
1040,benny-blanco,eastside-with-halsey-khalid,86789,,
1041,anderson-paak,6-summers,27520,,
1042,twenty-one-pilots,my-blood,69500,,
1043,linkin-park,numb,1251727,,
1044,radiohead,karma-police,1608313,,
1045,red-hot-chili-peppers,californication,1586447,,
1046,cardi-b,i-like-it,136209,,
1047,anderson-paak,the-chase-feat-kadhja-bonet,26974,,
1048,frank-ocean,nights,162230,,
1049,ariana-grande,sweetener,69330,,
1050,silk-city,electricity-with-dua-lipa,66459,,
1051,muse,blockades,26638,,
1052,michael-jackson,billie-jean,1185140,,
1053,mgmt,kids,1566560,,
1054,ellie-goulding,close-to-me-with-diplo-feat-swae-lee,27014,,
1055,tears-for-fears,everybody-wants-to-rule-the-world,653653,,
1056,earth-wind-fire,september,635136,,
1057,the-strokes,last-nite,975147,,
1058,queen,killer-queen-remastered-2011,90559,,
1059,a-ap-rocky,praise-the-lord-da-shine,79775,,
1060,billie-eilish,come-out-and-play,27865,,
1061,travi-scott,stargazing,86591,,
1062,queen,we-are-the-champions-remastered-2011,122301,,
1063,led-zeppelin,stairway-to-heaven,1280246,,
1064,muse,get-up-and-fight,26275,,
1065,ac-dc,highway-to-hell,994092,,
1066,britney-spears,toxic,841889,,
1067,led-zeppelin,immigrant-song,965783,,
1068,dean-lewis,be-alright,67400,,
1069,vince-staples,outside,25880,,
1070,slipknot,all-out-life,25945,,
1071,ariana-grande,everytime,68797,,
1072,red-hot-chili-peppers,cant-stop,1070372,,
1073,tyler-the-creator,see-you-again,125825,,
1074,kygo,happy-now-feat-sandro-cavazza,31351,,
1075,muse,dig-down,83859,,
1076,lorde,royals,820325,,
1077,twenty-one-pilots,stressed-out,399067,,
1078,coldplay,the-scientist,1588005,,
1079,the-xx,intro,1079274,,
1080,maroon-5,girls-like-you-feat-cardi-b,101388,,
1081,vince-staples,dont-get-chipped,25223,,
1082,mumford-sons,guiding-light,44739,,
1083,hozier,take-me-to-church,639259,,
1084,frank-ocean,ivy,181050,,
1085,m83,midnight-city,956616,,
1086,kings-of-leon,sex-on-fire,1464752,,
1087,billie-eilish,ocean-eyes,103058,,
1088,dire-straits,sultans-of-swing,1020000,,
1089,anderson-paak,headlow-feat-norelle,24830,,
1090,kendrick-lamar,all-the-stars-with-sza,177655,,
1091,robyn,missing-u,54263,,
1092,kids-see-ghosts,reborn,83580,,
1093,arctic-monkeys,fluorescent-adolescent,967476,,
1094,the-weeknd,starboy,304784,,
1095,billie-eilish,idontwannabeyouanymore,71516,,
1096,soundgarden,black-hole-sun,1021398,,
1097,taylor-swift,delicate,116009,,
1098,imagine-dragons,boomerang,24468,,
1099,the-killers,somebody-told-me,1635621,,
1100,arctic-monkeys,whyd-you-only-call-me-when-youre-high,571178,,
1101,xxxtentacion,moonlight,93624,,
1102,ariana-grande,side-to-side,209755,,
1103,vince-staples,relay,24032,,
1104,earl-sweatshirt,nowhere2go,24414,,
1105,steve-aoki,waste-it-on-me-feat-bts,28739,,
1106,lil-peep,falling-down-bonus-track,24391,,
1107,the-neighbourhood,sweater-weather,526194,,
1108,billie-eilish,bellyache,86999,,
1109,joji,yeah-right,55481,,
1110,michael-jackson,thriller,1037173,,
1111,rage-against-the-machine,killing-in-the-name,1206629,,
1112,foo-fighters,everlong,1306723,,
1113,vance-joy,riptide,574294,,
1114,anderson-paak,saviers-road,23717,,
1115,cardi-b,money,34140,,
1116,billie-eilish,you-should-see-me-in-a-crown,59458,,
1117,taylor-swift,look-what-you-made-me-do,191859,,
1118,muse,the-void,23349,,
1119,robyn,ever-again,32034,,
1120,george-ezra,shotgun,80511,,
1121,ariana-grande,r-e-m,63397,,
1122,queens-of-the-stone-age,no-one-knows,1070566,,
1123,frank-ocean,thinkin-bout-you,562290,,
1124,vince-staples,run-the-bands,23102,,
1125,imagine-dragons,radioactive,1000641,,
1126,lady-gaga,shallow-radio-edit,38645,,
1127,little-mix,joan-of-arc,22817,,
1128,the-cure,friday-im-in-love,1022276,,
1129,lil-peep,runaway,22884,,
1130,benny-blanco,i-found-you-with-calvin-harris,23039,,
1131,massive-attack,teardrop,1290627,,
1132,two-door-cinema-club,what-you-know,858760,,
1133,green-day,basket-case,1132632,,
1134,troye-sivan,dance-to-this-feat-ariana-grande,67363,,
1135,drake,nice-for-what,154082,,
1136,panic-at-the-disco,i-write-sins-not-tragedies,901845,,
1137,ariana-grande,one-last-time,285616,,
1138,queen,crazy-little-thing-called-love,733547,,
1139,the-animals,the-house-of-the-rising-sun,927082,,
1140,coldplay,viva-la-vida,1618571,,
1141,tame-impala,let-it-happen,326394,,
1142,blue-oyster-cult,dont-fear-the-reaper,676827,,
1143,blink-182,all-the-small-things,1182484,,
1144,lorde,liability,179519,,
1145,drake,nonstop,99733,,
1146,coldplay,yellow,1554689,,
1147,mgmt,electric-feel,1386289,,
1148,k-da,pop-stars,22320,,
1149,mumford-sons,beloved,22383,,
1150,sia,thunderclouds-with-sia-diplo-labrinth,28317,,
1151,twenty-one-pilots,jumpsuit,79726,,
1152,journey,dont-stop-believin,1080458,,
1153,lil-peep,falling-down,59268,,
1154,panic-at-the-disco,the-greatest-show,22120,,
1155,alt-j,breezeblocks,651716,,
1156,queen,radio-ga-ga-live-aid,24848,,
1157,system-of-a-down,toxicity,1148900,,
1158,imagine-dragons,cool-out,21866,,
1159,ariana-grande,dangerous-woman,197581,,
1160,taylor-swift,blank-space,252511,,
1161,creedence-clearwater-revival,fortunate-son,962000,,
1162,frank-ocean,nikes,166611,,
1163,guns-n-roses,sweet-child-o-mine,1362897,,
1164,vince-staples,no-bleedin,21623,,
1165,ariana-grande,goodnight-n-go,57437,,
1166,the-strokes,reptilia,1204730,,
1167,the-prodigy,timebomb-zone,21594,,
1168,metallica,nothing-else-matters,1082988,,
1169,xxxtentacion,jocelyn-flores,132181,,
1170,lil-uzi-vert,xo-tour-llif3,180704,,
1171,lord-huron,the-night-we-met,175081,,
1172,metallica,enter-sandman,1096370,,
1173,metro-boomin,dont-come-out-the-house-with-21-savage,21445,,
1174,vince-staples,tweakin,21298,,
1175,jimi-hendrix,all-along-the-watchtower,929346,,
1176,metro-boomin,10-freaky-girls-with-21-savage,21329,,
1177,electric-light-orchestra,mr-blue-sky,605589,,
1178,post-malone,psycho-feat-ty-dolla-ign,130718,,
1179,a-ap-rocky,sundress,22045,,
1180,lorde,perfect-places,155339,,
1181,the-clash,should-i-stay-or-should-i-go-remastered,240357,,
1182,snow-patrol,chasing-cars,1367855,,
1183,sia,mountains-with-sia-diplo-labrinth,20866,,
1184,radiohead,no-surprises,1288873,,
1185,ariana-grande,the-light-is-coming-feat-nicki-minaj,70835,,
1186,arctic-monkeys,i-bet-you-look-good-on-the-dancefloor,1233984,,
1187,joy-division,love-will-tear-us-apart,1106883,,
1188,rita-ora,anywhere,114222,,
1189,xxxtentacion,bad,21516,,
1190,imagine-dragons,west-coast,20777,,
1191,daughters,city-song,22935,,
1192,amine,reel-it-in,37556,,
1193,muse,uprising,968911,,
1194,robyn,honey,32971,,
1195,lady-gaga,bad-romance,1118910,,
1196,the-rolling-stones,paint-it-black,1212797,,
1197,sia,chandelier,593433,,
1198,pink-floyd,wish-you-were-here,1071892,,
1199,rosalia,malamente-cap-1-augurio,24718,,
1200,bon-iver,skinny-love,1064320,,
1201,metro-boomin,space-cadet-feat-gunna,20549,,
1202,gorillaz,clint-eastwood,1216031,,
1203,taylor-swift,shake-it-off,353665,,
1204,ariana-grande,pete-davidson,60675,,
1205,red-hot-chili-peppers,snow-hey-oh,813295,,
1206,sia,cheap-thrills,356532,,
1207,kids-see-ghosts,feel-the-love,73619,,
1208,anderson-paak,brothers-keeper-feat-pusha-t,20594,,
1209,troye-sivan,my-my-my,102134,,
1210,the-weeknd,call-out-my-name,140677,,
1211,the-prodigy,need-some1,31316,,
1212,tame-impala,feels-like-we-only-go-backwards,518895,,
1213,anderson-paak,anywhere-feat-snoop-dogg-the-last-artful-dodgr,20369,,
1214,queen,love-of-my-life-remastered-2011,57178,,
1215,the-prodigy,we-live-forever,22486,,
1216,abba,dancing-queen,723799,,
1217,the-beatles,here-comes-the-sun-remastered-2009,147480,,
1218,frank-ocean,self-control,143811,,
1219,the-prodigy,light-up-the-sky,27448,,
1220,queen,i-want-to-break-free-single-remix,104653,,
1221,anderson-paak,trippy-feat-j-cole,20227,,
1222,kendrick-lamar,king-kunta,341365,,
1223,kids-see-ghosts,4th-dimension,66906,,
1224,gucci-mane,wake-up-in-the-sky,43079,,
1225,imagine-dragons,demons,746424,,
1226,goo-goo-dolls,iris,1288571,,
1227,foo-fighters,the-pretender,1208199,,
1228,muse,supermassive-black-hole,1347672,,
1229,anderson-paak,mansa-musa-feat-dr-dre-cocoa-sarai,20009,,
1230,red-hot-chili-peppers,otherside,1350337,,
1231,khalid,suncity-feat-empress-of,34119,,
1232,the-smashing-pumpkins,1979-remastered-2012,42937,,
1233,kanye-west,power,625978,,
1234,lil-peep,sex-with-my-ex,19946,,
1235,anitta,veneno,19678,,
1236,travi-scott,goosebumps,127992,,
1237,anderson-paak,smile-petty,19450,,
1238,amy-winehouse,back-to-black,1145480,,
1239,mariah-carey,a-no-no,19612,,
1240,lana-del-rey,mariners-apartment-complex,61222,,
1241,imagine-dragons,whatever-it-takes,155557,,
1242,queen,crazy-little-thing-called-love-remastered-2011,82707,,
1243,twenty-one-pilots,ride,299606,,
1244,ac-dc,back-in-black,1086250,,
1245,smash-mouth,all-star,726325,,
1246,coldplay,fix-you,1476213,,
1247,m-i-a,paper-planes,1125255,,
1248,jennie,solo,19641,,
1249,little-mix,strip-feat-sharaya-j,19336,,
1250,blackpink,ddu-du-ddu-du,45704,,
1251,nirvana,heart-shaped-box,1128274,,
1252,travi-scott,butterfly-effect,126378,,
1253,papa-roach,last-resort,874894,,
1254,rihanna,love-on-the-brain,186568,,
1255,lil-peep,cry-alone,26036,,
1256,kanye-west,all-mine,106593,,
1257,lady-gaga,poker-face,1422187,,
