,Artiste,Titre,Listeners,Unnamed: 3,Unnamed: 4
147,billie-eilish,ocean-eyes,103058,,
148,anderson-paak,headlow-feat-norelle,24830,,
149,dire-straits,sultans-of-swing,1020000,,
150,kendrick-lamar,all-the-stars-with-sza,177655,,
151,robyn,missing-u,54263,,
152,kids-see-ghosts,reborn,83580,,
153,arctic-monkeys,fluorescent-adolescent,967476,,
154,the-weeknd,starboy,304784,,
155,billie-eilish,idontwannabeyouanymore,71516,,
156,soundgarden,black-hole-sun,1021398,,
157,taylor-swift,delicate,116009,,
158,imagine-dragons,boomerang,24468,,
159,the-killers,somebody-told-me,1635621,,
160,arctic-monkeys,whyd-you-only-call-me-when-youre-high,571178,,
161,xxxtentacion,moonlight,93624,,
162,ariana-grande,side-to-side,209755,,
163,vince-staples,relay,24032,,
164,earl-sweatshirt,nowhere2go,24414,,
165,steve-aoki,waste-it-on-me-feat-bts,28739,,
166,lil-peep,falling-down-bonus-track,24391,,
167,the-neighbourhood,sweater-weather,526194,,
168,billie-eilish,bellyache,86999,,
169,joji,yeah-right,55481,,
170,michael-jackson,thriller,1037173,,
171,rage-against-the-machine,killing-in-the-name,1206629,,
172,foo-fighters,everlong,1306723,,
173,vance-joy,riptide,574294,,
174,anderson-paak,saviers-road,23717,,
175,cardi-b,money,34140,,
176,billie-eilish,you-should-see-me-in-a-crown,59458,,
177,taylor-swift,look-what-you-made-me-do,191859,,
178,muse,the-void,23349,,
179,robyn,ever-again,32034,,
180,george-ezra,shotgun,80511,,
181,ariana-grande,r-e-m,63397,,
182,queens-of-the-stone-age,no-one-knows,1070566,,
183,frank-ocean,thinkin-bout-you,562290,,
184,vince-staples,run-the-bands,23102,,
185,imagine-dragons,radioactive,1000641,,
186,lady-gaga,shallow-radio-edit,38645,,
187,little-mix,joan-of-arc,22817,,
188,the-cure,friday-im-in-love,1022276,,
189,lil-peep,runaway,22884,,
190,benny-blanco,i-found-you-with-calvin-harris,23039,,
191,massive-attack,teardrop,1290627,,
192,two-door-cinema-club,what-you-know,858760,,
193,green-day,basket-case,1132632,,
194,troye-sivan,dance-to-this-feat-ariana-grande,67363,,
195,drake,nice-for-what,154082,,
196,panic-at-the-disco,i-write-sins-not-tragedies,901845,,
197,ariana-grande,one-last-time,285616,,
198,queen,crazy-little-thing-called-love,733547,,
199,the-animals,the-house-of-the-rising-sun,927082,,
200,coldplay,viva-la-vida,1618571,,
201,tame-impala,let-it-happen,326394,,
202,blue-oyster-cult,dont-fear-the-reaper,676827,,
203,blink-182,all-the-small-things,1182484,,
204,lorde,liability,179519,,
205,drake,nonstop,99733,,
206,coldplay,yellow,1554689,,
207,mgmt,electric-feel,1386289,,
208,k-da,pop-stars,22320,,
209,mumford-sons,beloved,22383,,
210,sia,thunderclouds-with-sia-diplo-labrinth,28317,,
211,twenty-one-pilots,jumpsuit,79726,,
212,journey,dont-stop-believin,1080458,,
213,lil-peep,falling-down,59268,,
214,panic-at-the-disco,the-greatest-show,22120,,
215,alt-j,breezeblocks,651716,,
216,queen,radio-ga-ga-live-aid,24848,,
217,system-of-a-down,toxicity,1148900,,
218,imagine-dragons,cool-out,21866,,
219,ariana-grande,dangerous-woman,197581,,
220,taylor-swift,blank-space,252511,,
221,creedence-clearwater-revival,fortunate-son,962000,,
222,frank-ocean,nikes,166611,,
223,guns-n-roses,sweet-child-o-mine,1362897,,
224,vince-staples,no-bleedin,21623,,
225,ariana-grande,goodnight-n-go,57437,,
226,the-strokes,reptilia,1204730,,
227,the-prodigy,timebomb-zone,21594,,
228,metallica,nothing-else-matters,1082988,,
229,xxxtentacion,jocelyn-flores,132181,,
230,lil-uzi-vert,xo-tour-llif3,180704,,
231,lord-huron,the-night-we-met,175081,,
232,metallica,enter-sandman,1096370,,
233,metro-boomin,dont-come-out-the-house-with-21-savage,21445,,
234,vince-staples,tweakin,21298,,
235,jimi-hendrix,all-along-the-watchtower,929346,,
236,metro-boomin,10-freaky-girls-with-21-savage,21329,,
237,electric-light-orchestra,mr-blue-sky,605589,,
238,post-malone,psycho-feat-ty-dolla-ign,130718,,
239,a-ap-rocky,sundress,22045,,
240,lorde,perfect-places,155339,,
241,the-clash,should-i-stay-or-should-i-go-remastered,240357,,
242,snow-patrol,chasing-cars,1367855,,
243,sia,mountains-with-sia-diplo-labrinth,20866,,
244,radiohead,no-surprises,1288873,,
245,ariana-grande,the-light-is-coming-feat-nicki-minaj,70835,,
246,arctic-monkeys,i-bet-you-look-good-on-the-dancefloor,1233984,,
247,joy-division,love-will-tear-us-apart,1106883,,
248,rita-ora,anywhere,114222,,
249,xxxtentacion,bad,21516,,
250,rita-ora,anywhere,114222,,
251,rosalia,malamente-cap-1-augurio,24718,,
252,amine,reel-it-in,37556,,
253,metro-boomin,space-cadet-feat-gunna,20549,,
254,muse,uprising,968911,,
255,kids-see-ghosts,feel-the-love,73619,,
256,the-rolling-stones,paint-it-black,1212797,,
257,lady-gaga,bad-romance,1118910,,
258,sia,chandelier,593433,,
259,queen,love-of-my-life-remastered-2011,57178,,
260,bon-iver,skinny-love,1064320,,
261,pink-floyd,wish-you-were-here,1071892,,
262,daughters,city-song,22935,,
263,ariana-grande,pete-davidson,60675,,
264,taylor-swift,shake-it-off,353665,,
265,red-hot-chili-peppers,snow-hey-oh,813295,,
266,sia,cheap-thrills,356532,,
267,gorillaz,clint-eastwood,1216031,,
268,anderson-paak,brothers-keeper-feat-pusha-t,20594,,
269,troye-sivan,my-my-my,102134,,
270,the-prodigy,need-some1,31316,,
271,the-weeknd,call-out-my-name,140677,,
272,tame-impala,feels-like-we-only-go-backwards,518895,,
