Name,titre,Listeners,,
Robyn,Missing U,54263,,
Kids See Ghosts,Reborn,83580,,
Arctic Monkeys,Fluorescent Adolescent,967476,,
The Weeknd,Starboy,304784,,
Billie Eilish,idontwannabeyouanymore,71516,,
Soundgarden,Black Hole Sun,1021398,,
Taylor Swift,Delicate,116009,,
Imagine Dragons,Boomerang,24468,,
The Killers,Somebody Told Me,1635621,,
Arctic Monkeys,Why'd You Only Call Me When You're High?,571178,,
xxxtentacion,Moonlight,93624,,
Ariana Grande,Side To Side,209755,,
Vince Staples,Relay,24032,,
Earl Sweatshirt,NOWHERE2GO,24414,,
Steve Aoki,Waste It On Me (feat. BTS),28739,,
LIL PEEP,Falling Down - Bonus Track,24391,,
The Neighbourhood,Sweater Weather,526194,,
Billie Eilish,Bellyache,86999,,
Joji,yeah right,55481,,
Michael Jackson,Thriller,1037173,,
Rage Against the Machine,Killing in the Name,1206629,,
Foo Fighters,Everlong,1306723,,
Vance Joy,Riptide,574294,,
Anderson .Paak,Saviers Road,23717,,
Cardi B,Money,34140,,
Billie Eilish,you should see me in a crown,59458,,
Taylor Swift,Look What You Made Me Do,191859,,
Muse,The Void,23349,,
Robyn,Ever Again,32034,,
George Ezra,Shotgun,80511,,
Ariana Grande,R.E.M,63397,,
Queens of the Stone Age,No One Knows,1070566,,
Frank Ocean,Thinkin Bout You,562290,,
Vince Staples,Run the Bands,23102,,
Imagine Dragons,Radioactive,1000641,,
Lady Gaga,Shallow - Radio Edit,38645,,
Little Mix,Joan of Arc,22817,,
The Cure,Friday I'm in Love,1022276,,
LIL PEEP,Runaway,22884,,
Benny Blanco,I Found You (with Calvin Harris),23039,,
Massive Attack,Teardrop,1290627,,
Two Door Cinema Club,What You Know,858760,,
Green Day,Basket Case,1132632,,
Troye Sivan,Dance to This (feat. Ariana Grande),67363,,
Drake,Nice For What,154082,,
Panic! at the Disco,I Write Sins Not Tragedies,901845,,
Ariana Grande,One Last Time,285616,,
Queen,Crazy Little Thing Called Love,733547,,
The Animals,The House of the Rising Sun,927082,,
Coldplay,Viva la Vida,1618571,,
Tame Impala,Let It Happen,326394,,
Blue Öyster Cult,(Don't Fear) The Reaper,676827,,
blink-182,All the Small Things,1182484,,
Lorde,Liability,179519,,
Drake,Nonstop,99733,,
Coldplay,Yellow,1554689,,
MGMT,Electric Feel,1386289,,
K/DA,POP/STARS,22320,,
Mumford & Sons,Beloved,22383,,
Sia,"Thunderclouds (with Sia, Diplo & Labrinth)",28317,,
Twenty One Pilots,Jumpsuit,79726,,
Journey,Don't Stop Believin',1080458,,
LIL PEEP,Falling Down,59268,,
Panic! at the Disco,The Greatest Show,22120,,
alt-J,Breezeblocks,651716,,
Queen,Radio Ga Ga - Live Aid,24848,,
System of a Down,Toxicity,1148900,,
Imagine Dragons,Cool Out,21866,,
Ariana Grande,Dangerous Woman,197581,,
Taylor Swift,Blank Space,252511,,
Creedence Clearwater Revival,Fortunate Son,962000,,
Frank Ocean,Nikes,166611,,
Guns N' Roses,Sweet Child o' Mine,1362897,,
Vince Staples,No Bleedin,21623,,
Ariana Grande,Goodnight n Go,57437,,
The Strokes,Reptilia,1204730,,
The Prodigy,Timebomb Zone,21594,,
Metallica,Nothing Else Matters,1082988,,
xxxtentacion,Jocelyn Flores,132181,,
LIL UZI VERT,XO TOUR Llif3,180704,,
Lord Huron,The Night We Met,175081,,
Metallica,Enter Sandman,1096370,,
Metro Boomin,Don't Come Out The House (with 21 Savage),21445,,
Vince Staples,Tweakin',21298,,
Jimi Hendrix,All Along the Watchtower,929346,,
Metro Boomin,10 Freaky Girls (with 21 Savage),21329,,
Electric Light Orchestra,Mr. Blue Sky,605589,,
Post Malone,Psycho (feat. Ty Dolla $ign),130718,,
A$AP Rocky,Sundress,22045,,
Lorde,Perfect Places,155339,,
The Clash,Should I Stay or Should I Go - Remastered,240357,,
Snow Patrol,Chasing Cars,1367855,,
Sia,"Mountains (with Sia, Diplo & Labrinth)",20866,,
Radiohead,No Surprises,1288873,,
Ariana Grande,The Light Is Coming (feat. Nicki Minaj),70835,,
Arctic Monkeys,I Bet You Look Good on the Dancefloor,1233984,,
Joy Division,Love Will Tear Us Apart,1106883,,
Rita Ora,Anywhere,114222,,
xxxtentacion,BAD!,21516,,
Rita Ora,Anywhere,114222,,
Rosalía,MALAMENTE - Cap.1: Augurio,24718,,
Aminé,REEL IT IN,37556,,
Metro Boomin,Space Cadet (feat. Gunna),20549,,
