Name,titre,Listeners,,
Billy Joel,Uptown Girl,471410,,
Beach House,Alien,19763,,
The Doors,People Are Strange,966187,,
BTS,DNA,60000,,
Mumford & Sons,October Skies,12633,,
Jeff Buckley,Hallelujah,885319,,
Alien Ant Farm,Smooth Criminal,736288,,
Rihanna,FourFiveSeconds,286055,,
Daughter,Youth,444153,,
Drake,Hotline Bling,359983,,
Jefferson Airplane,White Rabbit,813386,,
The Killers,Human,900541,,
Frank Ocean,Good Guy,118535,,
Twenty One Pilots,Pet Cheetah,29538,,
Queen,Keep Yourself Alive - Live At The Rainbow,15637,,
Muse,Pressure (feat. UCLA Bruin Marching Band),12482,,
Twenty One Pilots,Bandito,29958,,
Grimes,Kill V. Maim,157838,,
The Smashing Pumpkins,Marchin' On,12628,,
Pabllo Vittar,Buzina,21054,,
Bruno Mars,24K Magic,228371,,
Little Mix,Notice,12436,,
Arctic Monkeys,One Point Perspective,77987,,
David Guetta,Titanium (feat. Sia),615917,,
Playboi Carti,Shoota (feat. Lil Uzi Vert),39205,,
Rihanna,Don't Stop the Music,894171,,
Denzel Curry,CLOUT COBAIN , CLOUT CO13A1N,36452,
Dire Straits,Money for Nothing,731946,,
BROCKHAMPTON,HONEY,36737,,
Travi$ Scott,5% TINT,48538,,
Queen,A Kind Of Magic - Remastered 2011,49887,,
Kiss,I Was Made for Lovin' You,519884,,
Red Velvet,Bad Boy,35689,,
Lana Del Rey,Cherry,101997,,
xxxtentacion,Look at Me!,94249,,
Years & Years,If You're Over Me,66725,,
Frank Ocean,Seigfried,108492,,
Amy Winehouse,Rehab,1168533,,
Madonna,Hung Up,610516,,
Ariana Grande,Problem,347148,,
Jess Glynne,Thursday,20087,,
Queen,Under Pressure,632936,,
BROCKHAMPTON,THUG LIFE,44216,,
Nicki Minaj,Barbie Dreams,51252,,
Daniel Caesar,Best Part (feat. H.E.R.),64632,,
Anitta,GOAlS,12254,,
BROCKHAMPTON,GUMMY,74946,,
Queen,We Will Rock You - Movie Mix,14928,,
Lana Del Rey,Dark Paradise,552502,,
Twenty One Pilots,Cut My Lip,30464,,
Sublime,Santeria,763790,,
Death Cab for Cutie,I Will Follow You Into The Dark,1155041,,
Bill Withers,Ain't No Sunshine,657825,,
Red Hot Chili Peppers,Dark Necessities,208152,,
Pixies,Here Comes Your Man,703061,,
Muse,Time Is Running Out,1221084,,
Wham!,Wake Me up Before You Go-Go,429110,,
Capital Cities,Safe and Sound,589356,,
Green Day,When I Come Around,786171,,
Robyn,Dancing on My Own,396519,,
Avril Lavigne,Sk8er Boi,458638,,
Mac Miller,Ladders,40478,,
Martin Garrix,Ocean (feat. Khalid),68009,,
Kansas,Dust in the Wind,628581,,
Anitta,Medicina,34129,,
Hall & Oates,Maneater,290956,,
CHVRCHES,The Mother We Share,446168,,
Tove Lo,Habits (Stay High),301126,,
LIL PEEP,Benz Truck (гелик),55388,,
Train,"Hey, Soul Sister",715322,,
MGMT,Me and Michael,71659,,
Gwen Stefani,Hollaback Girl,772665,,
Logic,1-800-273-8255,150365,,
"Tyler, the Creator",Whoville,12355,,
Katy Perry,Firework,881015,,
Calvin Harris,Feels,174072,,
Coldplay,Adventure Of A Lifetime,289421,,
Rage Against the Machine,Bulls on Parade,835097,,
Clean Bandit,Rather Be (feat. Jess Glynne),485745,,
Slipknot,Wait and Bleed,805922,,
Interpol,Evil,687484,,
U2,With Or Without You - remastered,100240,,
Green Day,Boulevard of Broken Dreams,1093199,,
Kylie Minogue,Can't Get You Out of My Head,559011,,
Elton John,Your Song,685945,,
Beastie Boys,Sabotage,702327,,
Radiohead,Daydreaming,217367,,
Earl Sweatshirt,Chum,171804,,
The Neighbourhood,Daddy Issues,94777,,
Adele,When We Were Young,214246,,
Oasis,Don't Look Back in Anger,1069237,,
Metallica,One,837680,,
LIL PEEP,Awful Things,51023,,
Ella Mai,Trip,32616,,
Green Day,Good Riddance (Time of Your Life),836286,,
Mumford & Sons,Slip Away,12195,,
Rick Astley,Never Gonna Give You Up,501058,,
Grouplove,Tongue Tied,433154,,
Rihanna,Bitch Better Have My Money,271271,,
Eminem,The Real Slim Shady,737839,,
Queen,Bohemian Rhapsody - Live Aid,14761,,
Rosalía,RENIEGO - Cap.5: Lamento,12080,,
Scorpions,Wind of Change,663691,,
Fifth Harmony,woRK frOm HoMe,221389,,
Foster the People,Sit Next to Me,89784,,
Daughters,Ocean Song,13581,,
Architects,Royal Beggars,15474,,
Smile,Doing All Right - ...Revisited,15236,,
Post Malone,Stay,62007,,
Lil' Wayne,Uproar,40197,,
Mumford & Sons,The Cave,914353,,
Kelly Clarkson,Never Enough,12068,,
Bryan Adams,Summer of '69,613951,,
"Tyler, the Creator",Glitter,83882,,
Katy Perry,Roar,521221,,
Tame Impala,Yes I'm Changing,192447,,
Lana Del Rey,High by the Beach,221826,,
Amy Winehouse,Tears Dry on Their Own,844056,,
Third Eye Blind,Semi-Charmed Life,443516,,
Pulp,Common People,332954,,
LIL PEEP,White Girl,12102,,
Grimes,Oblivion,462912,,
The Strokes,You Only Live Once,877008,,
Muse,Something Human (Acoustic Version),11953,,
LIL PEEP,Fingers,11937,,
Bradley Cooper,Maybe It's Time,27380,,
ScHoolboy Q,X (with 2 Chainz & Saudi),79022,,
BROCKHAMPTON,WEIGHT,39431,,
Little Mix,Forget You Not,11942,,
The Beatles,Let It Be - Remastered 2009,102173,,
Blood Orange,Charcoal Baby,46171,,
Frank Ocean,solo (reprise),111838,,
Post Malone,Candy Paint,99289,,
The Fratellis,Chelsea Dagger,795046,,
Coldplay,Fix You - Live In Buenos Aires,11850,,
The Clash,London Calling - Remastered,129949,,
Jorja Smith,Blue Lights,72135,,
Hoobastank,The Reason,967259,,
Gorillaz,Humility (feat. George Benson),87384,,
Placebo,Every You Every Me,740077,,
Dire Straits,Walk of Life,675471,,
"Tyler, the Creator",I Ain't Got Time!,86884,,
The Cure,Close to Me,787208,,
Tears for Fears,Shout,500807,,
Lady Gaga,Hair Body Face,24042,,
Wham!,Last Christmas,578828,,
SZA,Drew Barrymore,97989,,
Post Malone,White Iverson,164518,,
Linkin Park,Somewhere I Belong,880956,,
Frank Ocean,Be Yourself,125239,,
Elvis Presley,Can't Help Falling in Love,451587,,
The Offspring,"You're Gonna Go Far, Kid",564349,,
Bob Dylan,Like a Rolling Stone,958015,,
Taylor Swift,We Are Never Ever Getting Back Together,415758,,
Eminem,Stan,598413,,
Nirvana,About a Girl,1106542,,
My Chemical Romance,I'm Not Okay (I Promise),483956,,
Nina Simone,Feeling Good,603398,,
Queens of the Stone Age,Go With the Flow,793981,,
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),184656,,
Daughters,Guest House,13154,,
Troye Sivan,Seventeen,36468,,
Oasis,Don't Look Back In Anger - Remastered,106795,,
J. Cole,No Role Modelz,161605,,
BROCKHAMPTON,BERLIN,41669,,
Arcade Fire,Rebellion (Lies),840700,,
Adele,Make You Feel My Love,696210,,
The 1975,Chocolate,369759,,
Jaden Smith,Icon,58249,,
Paramore,Ain't It Fun,286134,,
Thom Yorke,Unmade,16258,,
BLACKPINK,BOOMBAYAH,56031,,
Zayn,PILLOWTALK,222861,,
Bruno Mars,Finesse (Remix) [feat. Cardi B],119072,,
Billie Eilish,hostage,40198,,
Ed Sheeran,The A Team,612668,,
DJ Snake,Let Me Love You,215881,,
Bring Me the Horizon,Throne,144960,,
Alan Walker,Diamond Heart,21598,,
Kendrick Lamar,PRIDE.,165725,,
Led Zeppelin,Ramble On,700013,,
Katy Perry,Dark Horse,435725,,
Shawn Mendes,Lost In Japan - Remix,27286,,
Playboi Carti,Magnolia,87131,,
The Lumineers,Ophelia,194496,,
Lady Gaga,Music To My Eyes,25074,,
Ariana Grande,Everyday,95485,,
Queen,We Are the Champions,845146,,
Interpol,If You Really Love Nothing,42662,,
The Prodigy,Fight Fire with Fire (feat. Ho99o9),15455,,
Coldplay,A Sky Full of Stars,483760,,
Queen,Bicycle Race - Remastered 2011,46583,,
Otis Redding,(Sittin' On) The Dock of the Bay,558863,,
Muse,Dig Down (acoustic gospel version),11666,,
Bing Crosby,White Christmas,420935,,
The Smashing Pumpkins,Bullet With Butterfly Wings - Remastered 2012,26586,,
BLACKPINK,AS IF IT'S YOUR LAST,45449,,
Dead or Alive,You Spin Me Round (Like a Record),331201,,
Kanye West,No Mistakes,75120,,
Frank Ocean,Pyramids,317290,,
Mac Miller,What's the Use?,38117,,
Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",105708,,
Bring Me the Horizon,Wonderful Life (feat. Dani Filth),17062,,
"Tyler, the Creator",Foreword,88945,,
Katy Perry,Last Friday Night (T.G.I.F.),651696,,
Maroon 5,Sugar,384804,,
Jimi Hendrix,Purple Haze,915834,,
Crowded House,Don't Dream It's Over,406870,,
Rosalía,PRESO - Cap.6: Clausura,11597,,
Twenty One Pilots,Legend,28945,,
fun.,We Are Young (feat. Janelle Monáe),644818,,
Justin Timberlake,Cry Me a River,768425,,
Selena Gomez,Fetish (feat. Gucci Mane),106365,,
Supergrass,Alright,493541,,
Sufjan Stevens,The Only Thing,200898,,
Mumford & Sons,Little Lion Man,919595,,
SZA,The Weekend,95890,,
The Notorious B.I.G.,Juicy,762686,,
Queen,Now I'm Here - Live At The Hammersmith Odeon,14387,,
Eminem,'Till I Collapse,401211,,
Interpol,The Rover,52809,,
Kanye West,Waves,154168,,
Julia Holter,Whether,14903,,
Metronomy,The Look,408445,,
Camila Cabello,She Loves Control,83923,,
Florence + the Machine,Sky Full of Song,77871,,
Little Mix,Woman's World,11516,,
Sufjan Stevens,Death with Dignity,184029,,
The xx,Angels,687483,,
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),291405,,
Katy Perry,Teenage Dream,795160,,
Architects,Mortal After All,11474,,
The Beatles,Blackbird - Remastered,94160,,
Lana Del Rey,Lust for Life (with The Weeknd),121463,,
Black Eyed Peas,Where Is the Love,615152,,
Radiohead,Bodysnatchers,894478,,
Europe,The Final Countdown,732129,,
Mumford & Sons,Rose Of Sharon,11577,,
Ed Sheeran,Galway Girl,185584,,
Queen,Don't Stop Me Now - ...Revisited,18570,,
Linkin Park,Papercut,833021,,
Radiohead,Exit Music (for a Film),897599,,
Scorpions,Rock You Like a Hurricane,523350,,
Flipp Dinero,Leave Me Alone,21634,,
Architects,Holy Hell,11433,,
Justin Timberlake,"Can't Stop The Feeling! (Original Song From Dreamworks Animation's ""Trolls"")",247081,,
Two Door Cinema Club,Something Good Can Work,744741,,
Little Mix,Shout Out To My Ex,111186,,
Pearl Jam,Jeremy,806603,,
Kelly Clarkson,Since U Been Gone,623972,,
James Arthur,Empty Space,15783,,
Cher,Believe,451551,,
Leona Lewis,Bleeding Love,816747,,
Vanessa Carlton,A Thousand Miles,541730,,
The Proclaimers,I'm Gonna Be (500 Miles),477756,,
Arctic Monkeys,Knee Socks,386565,,
The National,I Need My Girl,334139,,
Vince Staples,Big Fish,92174,,
Architects,Doomsday,31562,,
The Beatles,Hey Jude - Remastered 2015,122382,,
Al Green,Let's Stay Together,674023,,
Tame Impala,The Moment,214155,,
BROCKHAMPTON,DISTRICT,37110,,
Lady Gaga,Perfect Illusion,154722,,
Lil Baby,Yes Indeed,51977,,
Michael Bublé,Holly Jolly Christmas,181785,,
Nelly Furtado,Promiscuous,522182,,
Bruno Mars,Just the Way You Are,698547,,
Sum 41,Fat Lip,746297,,
Ray Parker Jr.,Ghostbusters,239582,,
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),13587,,
Lana Del Rey,Ride,379891,,
Calvin Harris,This Is What You Came For,237814,,
Queen,Love Of My Life - Live At Rock In Rio,13601,,
Arcade Fire,Wake Up,825951,,
Miley Cyrus,We Can't Stop,412884,,
Linkin Park,Breaking the Habit,891434,,
"Tyler, the Creator",Big Bag,11527,,
Ice Cube,It Was A Good Day,771168,,
Julia Michaels,Issues,163474,,
The Police,Roxanne - Remastered 2003,77007,,
Travi$ Scott,NC-17,45593,,
Kendrick Lamar,YAH.,174414,,
Mariah Carey,One Mo' Gen,11320,,
Daft Punk,Something About Us,759689,,
Zayn,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",89999,,
Katy Perry,Hot n Cold,965879,,
Joji,R.I.P. (feat. Trippie Redd),17066,,
Radiohead,How to Disappear Completely,725584,,
Takeoff,Last Memory,13292,,
The Chainsmokers,Don't Let Me Down,245489,,
Taylor Swift,Dancing with Our Hands Tied,58037,,
Lady Gaga,Judas,408964,,
Travi$ Scott,HOUSTONFORNICATION,42821,,
Juice WRLD,All Girls Are The Same,42116,,
The Clash,Rock the Casbah - Remastered,123699,,
The Doors,Light My Fire,989146,,
Travi$ Scott,HOUSTONFORNICATION,42821,,
Juice WRLD,All Girls Are The Same,42116,,
The Clash,Rock the Casbah - Remastered,123699,,
Lana Del Rey,Off to the Races,535831,,
David Guetta,Don't Leave Me Alone (feat. Anne-Marie),54481,,
Rihanna,Only Girl (In the World),598396,,
Famous Dex,Pick It Up (Feat. A$AP Rocky),64320,,
ABBA,Mamma Mia,502564,,
Justin Bieber,Mistletoe,155737,,
Imagine Dragons,It's Time,659091,,
JPEGMAFIA,1539 N. Calvert,37499,,
Joji,XNXX,16301,,
Ke$ha,Praying,115160,,
21 Savage,Bank Account,105125,,
Ben E. King,Stand By Me,579751,,
Julien Baker,Bite The Hand,20722,,
Metro Boomin,No Complaints (feat. Offset & Drake) (Bonus),11144,,
Grimes,Flesh Without Blood,183739,,
Mac Miller,Hurt Feelings,36658,,
Nine Inch Nails,Closer,698906,,
Radiohead,Idioteque,850542,,
Zedd,Stay (with Alessia Cara),154077,,
Muse,Break it to Me (Sam de Jong Remix),11173,,
Ariana Grande,Touch It,69907,,
Troye Sivan,Somebody To Love,11124,,
Mitski,Geyser,43802,,
Little Mix,Black Magic,138109,,
Kali Uchis,Just A Stranger (feat. Steve Lacy),48029,,
The Killers,All These Things That I've Done,1220450,,
Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",55135,,
The Hives,Hate To Say I Told You So,605155,,
Jason Derülo,Goodbye (feat. Nicki Minaj & Willy William),40319,,
Madonna,Like a Prayer,597751,,
Foals,Mountain At My Gates,225856,,
Eagle-Eye Cherry,Save Tonight,706429,,
Rammstein,Sonne,555573,,
Frank Ocean,close to you,108642,,
Arctic Monkeys,One for the Road,439605,,
Arctic Monkeys,Crying Lightning,521233,,
BROCKHAMPTON,FACE,62485,,
Korn,Freak on a Leash,868861,,
Rihanna,Kiss It Better,143511,,
The Cure,Pictures of You,609557,,
Mariah Carey,8th Grade,11125,,
Stone Temple Pilots,Interstate Love Song,561422,,
Neil Young,Heart of Gold,652014,,
Mumford & Sons,Picture You,11183,,
Jess Glynne,All I Am,35212,,
Moby,Porcelain,867270,,
Lady Gaga,La Vie En Rose,27863,,
Rosalía,NANA - Cap.9: Concepción,11094,,
Sum 41,In Too Deep,701300,,
Lorde,400 Lux,344470,,
Alessia Cara,Scars To Your Beautiful,156880,,
Jefferson Airplane,Somebody to Love,755488,,
Kanye West,Wouldn't Leave,75692,,
Muse,Plug In Baby,843803,,
Stealers Wheel,Stuck in the Middle With You,459609,,
J Balvin,Mi Gente,141295,,
The 1975,Sincerity Is Scary,27347,,
Kate Bush,Running Up That Hill (A Deal With God),416018,,
Talking Heads,This Must Be The Place (Naive Melody) - 2005 Remastered Version,100806,,
Travi$ Scott,COFFEE BEAN,42886,,
Imagine Dragons,On Top of the World,601435,,
The Temptations,My Girl,585189,,
The xx,Islands,906317,,
Ariana Grande,Moonlight,79607,,
Pabllo Vittar,Não Vou Deitar,19151,,
lovelytheband,broken,46938,,
Radiohead,House of Cards,854222,,
Dr. Dre,The Next Episode,751491,,
Cocteau Twins,Cherry-Coloured Funk,196969,,
A$AP Rocky,Fukk Sleep,35756,,
John Denver,"Take Me Home, Country Roads - Rerecorded",25265,,
The Beatles,While My Guitar Gently Weeps - remastered,82794,,
Bon Jovi,It's My Life,650113,,
Bradley Cooper,Black Eyes,27168,,
David Bowie,"Let's Dance - Nile Rodgers' String Version, Radio Edit",11102,,
88Rising,Midsummer Madness,32723,,
Frank Ocean,Godspeed,104740,,
Blur,Girls & Boys,686015,,
Bright Eyes,First Day of My Life,710891,,
Elvis Presley,Blue Christmas,356132,,
The Prodigy,Give Me a Signal (feat. Barns Courtney),10898,,
Tame Impala,'Cause I'm A Man,220289,,
Paramore,Still into You,298318,,
Camila Cabello,Consequences - orchestra,20775,,
Jid,Off Deez (with J. Cole),11571,,
NF,Let You Down,116319,,
Anne-Marie,Perfect To Me,10959,,
The Velvet Underground,Sunday Morning,560817,,
Cream,White Room,640296,,
Yann Tiersen,"Comptine d'un autre été, L'Après-midi",344831,,
Miley Cyrus,Wrecking Ball,450666,,
Selena Gomez,Hands to Myself,190168,,
John Lennon,Happy Xmas (War Is Over) - Remastered,13738,,
Arctic Monkeys,Brianstorm,727103,,
Katy Perry,Swish Swish,130503,,
Julien Baker,Souvenir,13804,,
Beach House,Myth,415713,,
P!nk,What About Us,131809,,
Coldplay,Magic,487740,,
Lorde,Glory and Gore,349074,,
The Black Keys,Tighten Up,778135,,
Steppenwolf,Born to Be Wild,680627,,
The Offspring,Pretty Fly (For a White Guy),809866,,
Cigarettes After Sex,Nothing's Gonna Hurt You Baby,113718,,
Joji,COME THRU,15930,,
Martin Garrix,In the Name of Love,179009,,
Neutral Milk Hotel,"Holland, 1945",452812,,
LIL UZI VERT,New Patek,29241,,
Black Eyed Peas,I Gotta Feeling,972881,,
Yeah Yeah Yeahs,Maps,897998,,
Unknown Mortal Orchestra,So Good at Being in Trouble,222474,,
Taylor Swift,Love Story,600489,,
Lady Gaga,G.U.Y.,164993,,
Twenty One Pilots,Leave the City,27901,,
Joji,WHY AM I STILL IN LA (feat. Shlohmo & D33J),15944,,
The Smiths,How Soon Is Now? - 2011 Remastered Version,134598,,
Paramore,The Only Exception,554580,,
Panic! at the Disco,Death of a Bachelor,100197,,
Foo Fighters,All My Life,909823,,
The Beatles,Back In The U.S.S.R. - 2018 Mix,14908,,
Blur,Song 2,1443965,,
Stone Sour,Through Glass,682685,,
The xx,On Hold,202012,,
Mac DeMarco,My Kind of Woman,168071,,
alt-J,Left Hand Free,353117,,
Tyga,Dip,16280,,
SunMi,Siren,15987,,
Dusty Springfield,Son of a Preacher Man,615949,,
Shawn Mendes,Stitches,262331,,
Beyoncé,Irreplaceable,799009,,
Aretha Franklin,I Say a Little Prayer,456321,,
Architects,Damnation,10648,,
Red Velvet,피카부 Peek-a-Boo,35511,,
Disclosure,Latch (feat. Sam Smith),524414,,
Mac Miller,Come Back to Earth,36453,,
Rich The Kid,Plug Walk,63678,,
The Jesus and Mary Chain,Just Like Honey,432922,,
The Cardigans,Lovefool - Radio Edit,173061,,
Lady Gaga,The Cure,129749,,
3 Doors Down,Here Without You,1061707,,
Kendrick Lamar,FEEL.,164799,,
Jimi Hendrix,Hey Joe,757251,,
Alvvays,Dreams Tonite,81959,,
Kali Uchis,Tyrant (feat. Jorja Smith),63044,,
Alan Walker,Darkside,38120,,
Takeoff,Casper,10689,,
Rudimental,Summer Love,11086,,
Rosalía,MALDICIÓN - Cap.10: Cordura,10643,,
Julia Holter,Turn the Light On,13422,,
Massive Attack,Paradise Circus,533512,,
Zayn,Fingers,20715,,
Fleet Foxes,"If You Need to, Keep Time on Me",110206,,
Spin Doctors,Two Princes,619815,,
Maroon 5,She Will Be Loved - Radio Mix,61200,,
Audioslave,Show Me How To Live,689830,,
Juice WRLD,Lean Wit Me,30540,,
Anderson .Paak,Bubblin,39618,,
Troye Sivan,Animal,40044,,
Nirvana,All Apologies,1009918,,
"Tyler, the Creator",November,77793,,
Sia,"Audio (with Sia, Diplo & Labrinth)",10734,,
Drowning Pool,Bodies,701268,,
MØ,Sun In Our Eyes,40198,,
The White Stripes,Fell in Love With a Girl,711487,,
50 Cent,In Da Club,956683,,
Pusha T,Come Back Baby,49132,,
Pixies,Hey,614590,,
Katy Perry,chAiNEd tO the RhyTHM,159223,,
Prince,Purple Rain,406672,,
Little Mix,Touch,101262,,
Madison Beer,Hurts Like Hell (feat. Offset),10688,,
Florence + the Machine,Big God,60086,,
Migos,Walk It Talk It,69905,,
Muse,Psycho,227253,,
Greta Van Fleet,Highway Tune,63366,,
Paramore,Rose-Colored Boy,83460,,
Bruce Springsteen,Dancing in the Dark,553992,,
Beach House,Dark Spring,64460,,
Kurt Vile,LOADING ZONES,31789,,
Kygo,Remind Me to Forget,73722,,
Slowdive,Sugar For The Pill,109204,,
Billie Eilish,Party Favor,34282,,
St. Vincent,Los Ageless,87534,,
Migos,Stir Fry,88274,,
Rex Orange County,Best Friend,46718,,
Tom Petty,Free Fallin',474442,,
(G)I-DLE,HANN (Alone),16695,,
BROCKHAMPTON,SAN MARCOS,33841,,
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),188861,,
Stevie Wonder,Superstition - Single Version,183858,,
SZA,Broken Clocks,80988,,
Eminem,Venom - Music From The Motion Picture,47957,,
Billie Eilish,&burn (with Vince Staples),39961,,
Frank Ocean,Pretty Sweet,106296,,
A$AP Rocky,L$D,151650,,
Shawn Mendes,Mercy,151886,,
Mac DeMarco,Salad Days,253391,,
Eric Clapton,Cocaine,683831,,
Travi$ Scott,Antidote,128607,,
Shawn Mendes,Youth (feat. Khalid),44065,,
A Tribe Called Quest,Can I Kick It?,405303,,
Clean Bandit,I Miss You (feat. Julia Michaels),107425,,
Denzel Curry,BLACK BALLOONS , 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK , TWELVE'LEN + GOLDL1NK],31853
Pabllo Vittar,No Hablo Español,18273,,
Corinne Bailey Rae,Put Your Records On,614902,,
Caesars,Jerk It Out,365065,,
Vance Joy,Mess Is Mine,254569,,
Taylor Swift,Out of the Woods,144315,,
Post Malone,Paranoid,74522,,
Judas Priest,Breaking the Law,548731,,
The 1975,The Sound,150176,,
Phil Collins,In The Air Tonight - 2015 Remastered,80291,,
Of Monsters and Men,Dirty Paws,536347,,
Kendrick Lamar,Swimming Pools (Drank) (extended version),252426,,
Rihanna,S&M,594789,,
Jess Glynne,I'll Be There,53318,,
Julien Baker,Me & My Dog,21264,,
Blue Swede,Hooked on a Feeling,304554,,
Halsey,Now or Never,135968,,
A$AP Rocky,F**kin' Problems,286978,,
Pusha T,Santeria,47207,,
Evanescence,My Immortal,920851,,
Post Malone,Go Flex,98934,,
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,32124,,
Post Malone,Ball For Me (feat. Nicki Minaj),47508,,
Phoebe Bridgers,Motion Sickness,49078,,
Jack Johnson,Better Together,920052,,
Thundercat,Them Changes,107903,,
Mariah Carey,Portrait,10309,,
Kanye West,Love Lockdown,736458,,
Kurt Vile,Pretty Pimpin,169878,,
Carly Rae Jepsen,Cut to the Feeling,65183,,
Dua Lipa,Hotter Than Hell,127654,,
Mariah Carey,We Belong Together,432123,,
Marilyn Manson,Sweet Dreams (Are Made of This),527112,,
Rosalía,A NINGÚN HOMBRE - Cap.11: Poder,10269,,
Queen,Radio Ga Ga,525183,,
Tove Lo,Disco Tits,70609,,
Mumford & Sons,Darkness Visible,10346,,
Young Thug,Sin (feat. Jaden Smith),22639,,
Bruno Mars,Locked Out of Heaven,584517,,
The Who,Behind Blue Eyes,511985,,
Cage the Elephant,TROUBLE,137733,,
Semisonic,Closing Time,543384,,
IZ*ONE,La Vie en Rose,10300,,
Travi$ Scott,WHO? WHAT!,42603,,
Queen,Death On Two Legs (Dedicated To...) - Remastered 2011,28018,,
Neutral Milk Hotel,King of Carrot Flowers Pt. 1,124397,,
Cigarettes After Sex,Apocalypse,86678,,
Slayer,Raining Blood,586195,,
Jay-Z,Numb / Encore,84545,,
Vance Joy,Georgia,214115,,
Daft Punk,Around the World,894643,,
Mitski,Why Didn't You Stop Me?,33327,,
David Bowie,Moonage Daydream - 2012 Remastered Version,149494,,
Baco Exu do Blues,Bluesman,10659,,
Birdy,Skinny Love,512459,,
Alphaville,Forever Young,508215,,
Thin Lizzy,The Boys Are Back in Town,490122,,
LP,Lost On You,109450,,
Radiohead,Let Down,913953,,
The Chainsmokers,Paris,179949,,
Keala Settle,This Is Me,58825,,
Rob Zombie,Dragula,521839,,
Demi Lovato,Tell Me You Love Me,84847,,
Paul McCartney,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,11496,,
Haddaway,What Is Love,555877,,
Arcade Fire,Ready to Start,598209,,
New Radicals,You Get What You Give,495466,,
Muse,Undisclosed Desires,729763,,
Britney Spears,Gimme More,493018,,
Queen,Good Old-Fashioned Lover Boy - Remastered 2011,35848,,
(G)I-DLE,LATATA,22515,,
xxxtentacion,tHe rEmEdY fOr A bRoKeN hEaRt (wHy aM i sO iN lOvE),49976,,
Demi Lovato,Cool for the Summer,191253,,
Fleetwood Mac,Rhiannon,385142,,
Bag Raiders,Shooting Stars,269814,,
BROCKHAMPTON,STAR,65355,,
Alicia Keys,If I Ain't Got You,472861,,
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),41276,,
Kendrick Lamar,Poetic Justice,319191,,
Mac Miller,Dang! (feat. Anderson .Paak),98300,,
Glass Animals,Gooey,268070,,
Arctic Monkeys,Old Yellow Bricks,644471,,
Radiohead,Decks Dark,174915,,
Portishead,Roads,822266,,
Jid,151 Rum,10841,,
Lorde,Liability (Reprise),95905,,
BROCKHAMPTON,WHERE THE CASH AT,38432,,
Khalid,OTW,59577,,
Lana Del Rey,13 Beaches,102465,,
Alice in Chains,Man in the Box,574237,,
Radiohead,Street Spirit (Fade Out),784520,,
Baco Exu do Blues,Me Desculpa Jay Z,10603,,
Led Zeppelin,Going to California,603465,,
Twenty One Pilots,Heavydirtysoul,153504,,
Miles Davis,Blue in Green,517937,,
Slipknot,The Devil in I,161531,,
Beyoncé,7/11,255941,,
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",34609,,
Chris Isaak,Wicked Game,477134,,
Michael Jackson,Smooth Criminal - 2012 Remaster,106707,,
My Chemical Romance,Helena (So Long & Goodnight),113635,,
Anitta,Downtown,72303,,
Cheat Codes,Only You,27694,,
Pixies,Debaser,632029,,
Twenty One Pilots,Car Radio,165592,,
Bon Iver,Flume,798822,,
Kendrick Lamar,i,274075,,
Ariana Grande,Let Me Love You,81722,,
Azealia Banks,212 (feat. Lazy Jay),398728,,
Gorillaz,Tranz,72995,,
Lady Gaga,Diggin' My Grave,22220,,
Led Zeppelin,Rock and Roll,728916,,
A Great Big World,Say Something,322705,,
Paramore,Ignorance,487908,,
Heart,Barracuda,436002,,
U2,I Still Haven't Found What I'm Looking For,700484,,
Greta Van Fleet,When The Curtain Falls,30525,,
MØ,Blur,21317,,
Normani,Waves (feat. 6LACK),9974,,
Lady Gaga,Before I Cry,21506,,
J. Cole,KOD,67371,,
Muse,Thought Contagion (live),9925,,
Soccer Mommy,Your Dog,49416,,
LCD Soundsystem,(We Don't Need This) Fascist Groove Thang - electric lady sessions,9912,,
Lana Del Rey,White Mustang,96566,,
Lukas Graham,7 Years,247344,,
Red Hot Chili Peppers,Give It Away,843038,,
The Beatles,While My Guitar Gently Weeps - 2018 Mix,18745,,
Marvin Gaye,Ain't No Mountain High Enough - Mono,25667,,
OneRepublic,Apologize,591621,,
Kanye West,Pt. 2,148766,,
Lil Baby,Drip Too Hard (Lil Baby & Gunna),16792,,
Jimi Hendrix,Little Wing,539604,,
Coldplay,Trouble,1105937,,
Katy Perry,E.T.,568985,,
Lenny Kravitz,Are You Gonna Go My Way,548092,,
*NSYNC,Bye Bye Bye,389905,,
Childish Gambino,Me and Your Mama,143091,,
