,Titre,Artiste,Annee
81,remind-me,brad-paisley-and-carrie-underwood,2011
82,in-the-dark,dev,2011
83,backseat,new-boyz-featuring-the-cataracs-and-dev,2011
84,headlines,drake,2011
85,best-thing-i-never-had,beyonce,2011
86,dont-wanna-go-home,jason-derulo,2011
87,where-them-girls-at,david-guetta-featuring-flo-rida-and-nicki-minaj,2011
88,she-aint-you,chris-brown,2011
89,take-a-back-road,rodney-atkins,2011
90,please-dont-go,mike-posner,2011
91,sure-thing,miguel,2011
92,price-tag,jessie-j-featuring-b-o-b,2011
93,god-gave-me-you,blake-shelton,2011
94,she-will,lil-wayne-featuring-drake,2011
95,are-you-gonna-kiss-me-or-not,thompson-square,2011
96,animal,neon-trees,2011
97,you-and-tequila,kenny-chesney-featuring-grace-potter,2011
98,colder-weather,zac-brown-band,2011
99,my-last,big-sean-featuring-chris-brown,2011
0,tik-tok,kesha,2010
1,need-you-now,lady-antebellum,2010
2,hey-soul-sister,train,2010
3,california-gurls,katy-perry-featuring-snoop-dogg,2010
4,omg,usher-featuring-will-i-am,2010
5,airplanes,b-o-b-featuring-hayley-williams,2010
6,love-the-way-you-lie,eminem-featuring-rihanna,2010
7,bad-romance,lady-gaga,2010
8,dynamite,taio-cruz,2010
9,break-your-heart,taio-cruz-featuring-ludacris,2010
10,nothin-on-you,b-o-b-featuring-bruno-mars,2010
11,i-like-it,enrique-iglesias-featuring-pitbull,2010
12,bedrock,young-money-featuring-lloyd,2010
13,in-my-head,jason-derulo,2010
14,rude-boy,rihanna,2010
15,telephone,lady-gaga-featuring-beyonce,2010
16,teenage-dream,katy-perry,2010
17,just-the-way-you-are,bruno-mars,2010
18,cooler-than-me,mike-posner,2010
19,imma-be,the-black-eyed-peas,2010
20,empire-state-of-mind,jay-z-featuring-alicia-keys,2010
21,dj-got-us-fallin-in-love,usher-featuring-pitbull,2010
22,billionaire,travie-mccoy-featuring-bruno-mars,2010
23,not-afraid,eminem,2010
24,replay,iyaz,2010
25,sexy-bitch,david-guetta-featuring-akon,2010
26,breakeven,the-script,2010
27,your-love-is-my-drug,kesha,2010
28,i-gotta-feeling,the-black-eyed-peas,2010
29,fireflies,owl-city,2010
30,say-aah,trey-songz-featuring-fabolous,2010
31,find-your-love,drake,2010
32,alejandro,lady-gaga,2010
33,ridin-solo,jason-derulo,2010
34,just-a-dream,nelly,2010
35,how-low,ludacris,2010
36,like-a-g6,far-east-movement-featuring-the-cataracs-and-dev,2010
37,carry-out,timbaland-featuring-justin-timberlake,2010
38,havent-met-you-yet,michael-buble,2010
39,club-cant-handle-me,flo-rida-featuring-david-guetta,2010
40,down,jay-sean-featuring-lil-wayne,2010
41,bulletproof,la-roux,2010
42,whatcha-say,jason-derulo,2010
43,baby,justin-bieber-featuring-ludacris,2010
44,whataya-want-from-me,adam-lambert,2010
45,mine,taylor-swift,2010
46,only-girl-in-the-world,rihanna,2010
47,live-like-were-dying,kris-allen,2010
48,hard,rihanna-featuring-jeezy,2010
49,young-forever,jay-z-featuring-mr-hudson,2010
50,blah-blah-blah,kesha-featuring-3oh-3,2010
51,bottoms-up,trey-songz-featuring-nicki-minaj,2010
52,do-you-remember,jay-sean-featuring-sean-paul-and-lil-jon,2010
53,all-the-right-moves,onerepublic,2010
54,according-to-you,orianthi,2010
55,my-chick-bad,ludacris-featuring-nicki-minaj,2010
56,you-belong-with-me,taylor-swift,2010
57,meet-me-halfway,the-black-eyed-peas,2010
58,take-it-off,kesha,2010
59,over,drake,2010
60,animal,neon-trees,2010
61,misery,maroon-5,2010
62,magic,b-o-b-featuring-rivers-cuomo,2010
63,paparazzi,lady-gaga,2010
64,tie-me-down,new-boyz-featuring-ray-j,2010
65,your-love,nicki-minaj,2010
66,party-in-the-u-s-a,miley-cyrus,2010
67,deuces,chris-brown-featuring-tyga-and-kevin-mccall,2010
68,3,britney-spears,2010
69,impossible,shontelle,2010
70,forever,drake-featuring-kanye-west-lil-wayne-and-eminem,2010
71,two-is-better-than-one,boys-like-girls-featuring-taylor-swift,2010
72,my-first-kiss,3oh-3-featuring-kesha,2010
73,already-gone,kelly-clarkson,2010
74,rock-that-body,the-black-eyed-peas,2010
75,secrets,onerepublic,2010
76,naturally,selena-gomez-the-scene,2010
77,un-thinkable-im-ready,alicia-keys,2010
78,all-i-do-is-win,dj-khaled-featuring-t-pain-ludacris-snoop-dogg-and-rick-ross,2010
79,i-made-it-cash-money-heroes,kevin-rudolf-featuring-birdman-jay-sean-and-lil-wayne,2010
80,stuck-like-glue,sugarland,2010
81,hey-daddy-daddys-home,usher-featuring-plies,2010
82,there-goes-my-baby,usher,2010
83,today-was-a-fairytale,taylor-swift,2010
84,say-something,timbaland-featuring-drake,2010
85,sweet-dreams,beyonce,2010
86,use-somebody,kings-of-leon,2010
87,undo-it,carrie-underwood,2010
88,eenie-meenie,sean-kingston-and-justin-bieber,2010
89,right-above-it,lil-wayne-featuring-drake,2010
90,the-house-that-built-me,miranda-lambert,2010
91,if-i-die-young,the-band-perry,2010
92,the-only-exception,paramore,2010
93,american-honey,lady-antebellum,2010
94,king-of-anything,sara-bareilles,2010
95,life-after-you,daughtry,2010
96,smile,uncle-kracker,2010
97,teach-me-how-to-dougie,cali-swag-district,2010
98,try-sleeping-with-a-broken-heart,alicia-keys,2010
99,lover-lover,jerrod-niemann,2010
